who,problem,when,try,problem_len,input_len,output_len,diff,result
-is-this-fft-,B,2024-3-24 13:19:00,1,60,99,16,1,1
-is-this-fft-,C,2024-3-24 17:17:00,3,180,61,18,1,1
-is-this-fft-,F,2024-3-24 14:15:00,2,83,64,31,2,1
-is-this-fft-,G,2024-3-24 15:22:00,2,210,141,192,1,1
-is-this-fft-,I,2024-3-24 13:15:00,1,112,45,17,2,1
-is-this-fft-,J,2024-3-24 17:26:00,3,212,145,156,2,0
00zijian,A,2024-3-24 13:44:00,5,85,59,68,2,0
00zijian,B,2024-3-24 13:58:00,1,60,99,16,1,1
100%Winrate:tamp_ mahmoudbadawy Yousef_Salama,B,2024-3-24 14:20:00,1,60,99,16,1,1
100%Winrate:tamp_ mahmoudbadawy Yousef_Salama,C,2024-3-24 14:45:00,1,180,61,18,1,1
100%Winrate:tamp_ mahmoudbadawy Yousef_Salama,D,2024-3-24 16:38:00,1,228,148,169,2,0
100%Winrate:tamp_ mahmoudbadawy Yousef_Salama,F,2024-3-24 17:26:00,13,83,64,31,2,1
100%Winrate:tamp_ mahmoudbadawy Yousef_Salama,G,2024-3-24 17:47:00,9,210,141,192,1,1
100%Winrate:tamp_ mahmoudbadawy Yousef_Salama,I,2024-3-24 13:51:00,6,112,45,17,2,1
1025_hl,B,2024-3-24 14:05:00,1,60,99,16,1,1
1025_hl,I,2024-3-24 16:59:00,14,112,45,17,2,0
111:JayTe turkhuu622 TselmegKh,B,2024-3-24 13:56:00,2,60,99,16,1,1
111:JayTe turkhuu622 TselmegKh,C,2024-3-24 14:30:00,1,180,61,18,1,1
111:JayTe turkhuu622 TselmegKh,E,2024-3-24 16:50:00,6,166,36,38,2,0
111:JayTe turkhuu622 TselmegKh,I,2024-3-24 15:27:00,4,112,45,17,2,0
1459007298,B,2024-3-24 13:11:00,1,60,99,16,1,1
1459007298,C,2024-3-24 13:35:00,2,180,61,18,1,1
1459007298,F,2024-3-24 15:38:00,7,83,64,31,2,1
1459007298,G,2024-3-24 17:23:00,7,210,141,192,1,1
1459007298,I,2024-3-24 15:06:00,4,112,45,17,2,1
1__idk__1,A,2024-3-24 17:21:00,1,85,59,68,2,0
202201423,B,2024-3-24 16:07:00,2,60,99,16,1,1
2110030121,A,2024-3-24 14:49:00,2,85,59,68,2,0
2200030784,A,2024-3-24 15:54:00,1,85,59,68,2,0
2210030020m,A,2024-3-24 13:36:00,1,85,59,68,2,0
2210030020m,C,2024-3-24 13:15:00,2,180,61,18,1,0
2210030020m,F,2024-3-24 13:41:00,1,83,64,31,2,0
2210030020m,I,2024-3-24 13:27:00,2,112,45,17,2,0
22211a1244,F,2024-3-24 15:02:00,3,83,64,31,2,0
22241A1244eswar,E,2024-3-24 13:25:00,2,166,36,38,2,0
22r01a04g4,A,2024-3-24 13:34:00,1,85,59,68,2,0
22r01a0524,A,2024-3-24 14:10:00,2,85,59,68,2,0
22r01a0524,B,2024-3-24 14:13:00,1,60,99,16,1,0
22r01a0561,A,2024-3-24 13:26:00,3,85,59,68,2,0
22r01a0561,B,2024-3-24 13:27:00,1,60,99,16,1,0
2Chicken1VegMomos:ZaWorld cannizzarokun harsh.73.goyal,B,2024-3-24 13:24:00,1,60,99,16,1,1
2Chicken1VegMomos:ZaWorld cannizzarokun harsh.73.goyal,F,2024-3-24 14:49:00,9,83,64,31,2,0
2MEN0ALGO:windows47 abode_at25,C,2024-3-24 16:40:00,4,180,61,18,1,1
2MEN0ALGO:windows47 abode_at25,I,2024-3-24 15:06:00,4,112,45,17,2,1
2vs?:Nestor... Jaiderbr SneiderQuintero,B,2024-3-24 14:34:00,3,60,99,16,1,0
2vs?:Nestor... Jaiderbr SneiderQuintero,F,2024-3-24 14:50:00,2,83,64,31,2,0
3191713687,B,2024-3-24 16:40:00,2,60,99,16,1,0
3191713687,I,2024-3-24 16:39:00,1,112,45,17,2,0
3awezComputer:HeMoo Obada_Saleh Wael_Mchantaf,B,2024-3-24 13:36:00,2,60,99,16,1,1
3awezComputer:HeMoo Obada_Saleh Wael_Mchantaf,C,2024-3-24 14:04:00,1,180,61,18,1,1
3awezComputer:HeMoo Obada_Saleh Wael_Mchantaf,F,2024-3-24 15:56:00,3,83,64,31,2,1
3awezComputer:HeMoo Obada_Saleh Wael_Mchantaf,I,2024-3-24 13:38:00,4,112,45,17,2,1
989,B,2024-3-24 13:55:00,2,60,99,16,1,0
989,I,2024-3-24 15:17:00,7,112,45,17,2,1
99%2prize:myheartwaing ayaka0928 Yhs_Joker,B,2024-3-24 13:18:00,1,60,99,16,1,1
99%2prize:myheartwaing ayaka0928 Yhs_Joker,C,2024-3-24 17:32:00,4,180,61,18,1,1
99%2prize:myheartwaing ayaka0928 Yhs_Joker,F,2024-3-24 15:05:00,3,83,64,31,2,1
99%2prize:myheartwaing ayaka0928 Yhs_Joker,I,2024-3-24 14:17:00,4,112,45,17,2,1
A.n.o.n.y.m.o.u.s,B,2024-3-24 13:42:00,1,60,99,16,1,1
A.n.o.n.y.m.o.u.s,C,2024-3-24 15:18:00,3,180,61,18,1,1
A.n.o.n.y.m.o.u.s,F,2024-3-24 17:59:00,12,83,64,31,2,0
A.n.o.n.y.m.o.u.s,I,2024-3-24 14:14:00,4,112,45,17,2,1
A34,B,2024-3-24 15:55:00,2,60,99,16,1,0
ABalobanov,B,2024-3-24 15:53:00,1,60,99,16,1,1
ABalobanov,I,2024-3-24 16:12:00,2,112,45,17,2,1
ALESTA,C,2024-3-24 17:35:00,1,180,61,18,1,0
AMA_noobs:mhdi_742 Arijit15 aritra2zk9l,I,2024-3-24 17:41:00,3,112,45,17,2,0
ASHIM_NURISLAM,A,2024-3-24 13:14:00,2,85,59,68,2,0
ASHIM_NURISLAM,B,2024-3-24 13:16:00,2,60,99,16,1,0
A_tik,B,2024-3-24 16:51:00,1,60,99,16,1,0
AbdallahBouali,A,2024-3-24 17:32:00,8,85,59,68,2,0
AdarshX,B,2024-3-24 17:24:00,1,60,99,16,1,1
AdarshX,I,2024-3-24 17:59:00,4,112,45,17,2,0
Adi-licious,A,2024-3-24 16:59:00,2,85,59,68,2,0
Adi-licious,I,2024-3-24 17:56:00,1,112,45,17,2,0
Adonis_,B,2024-3-24 13:39:00,2,60,99,16,1,1
Ag153,B,2024-3-24 16:09:00,2,60,99,16,1,0
Airths,C,2024-3-24 14:11:00,1,180,61,18,1,1
Airths,I,2024-3-24 13:22:00,3,112,45,17,2,1
Aki_Fan,B,2024-3-24 15:44:00,1,60,99,16,1,1
Aki_Fan,I,2024-3-24 16:25:00,8,112,45,17,2,0
AlarmClock:yellowtoad Angus_Yeung abcdehello,B,2024-3-24 13:09:00,1,60,99,16,1,1
AlarmClock:yellowtoad Angus_Yeung abcdehello,C,2024-3-24 13:38:00,1,180,61,18,1,1
AlarmClock:yellowtoad Angus_Yeung abcdehello,G,2024-3-24 15:19:00,3,210,141,192,1,1
AlarmClock:yellowtoad Angus_Yeung abcdehello,I,2024-3-24 14:18:00,7,112,45,17,2,1
AlarmClock:yellowtoad Angus_Yeung abcdehello,J,2024-3-24 16:02:00,1,212,145,156,2,0
AlarmClock:yellowtoad Angus_Yeung abcdehello,K,2024-3-24 13:26:00,2,96,83,102,2,0
AlgorithmAcee,A,2024-3-24 16:33:00,1,85,59,68,2,0
Alphonso:RithvikRavikumar SaiArunPrasaad mastermind239,F,2024-3-24 17:25:00,1,83,64,31,2,0
Alphonso:RithvikRavikumar SaiArunPrasaad mastermind239,K,2024-3-24 16:00:00,5,96,83,102,2,0
AminulErShoinik:jamil_safi Ami_Nul roundspecs,B,2024-3-24 16:26:00,3,60,99,16,1,0
AminulErShoinik:jamil_safi Ami_Nul roundspecs,I,2024-3-24 14:05:00,4,112,45,17,2,0
Amir_Mazari_06,I,2024-3-24 13:08:00,1,112,45,17,2,0
Anonymous:Aphrodite3107 graphisverybad,B,2024-3-24 13:38:00,3,60,99,16,1,1
Anonymous:Aphrodite3107 graphisverybad,C,2024-3-24 15:48:00,8,180,61,18,1,1
Anonymous:Aphrodite3107 graphisverybad,I,2024-3-24 16:09:00,7,112,45,17,2,1
Anti-Adhoc:shlokagrawal Final_Track GreyAtCGPA,B,2024-3-24 14:42:00,2,60,99,16,1,1
Anti-Adhoc:shlokagrawal Final_Track GreyAtCGPA,C,2024-3-24 14:07:00,1,180,61,18,1,1
Anti-Adhoc:shlokagrawal Final_Track GreyAtCGPA,D,2024-3-24 17:34:00,1,228,148,169,2,0
Anti-Adhoc:shlokagrawal Final_Track GreyAtCGPA,F,2024-3-24 15:23:00,2,83,64,31,2,1
Anti-Adhoc:shlokagrawal Final_Track GreyAtCGPA,G,2024-3-24 16:55:00,1,210,141,192,1,1
Anti-Adhoc:shlokagrawal Final_Track GreyAtCGPA,I,2024-3-24 13:31:00,1,112,45,17,2,1
Arabian_pilots:SimplyFrog qruzbrat omnitrixx,F,2024-3-24 15:38:00,13,83,64,31,2,0
Aram_7,E,2024-3-24 14:25:00,6,166,36,38,2,0
Aram_7,F,2024-3-24 14:14:00,1,83,64,31,2,0
Aram_mouhammed,B,2024-3-24 14:53:00,1,60,99,16,1,1
Aram_mouhammed,I,2024-3-24 16:13:00,5,112,45,17,2,0
AreyouAC?:kevin_Durant_ mao_wei_jia jinfeng123321,B,2024-3-24 14:21:00,2,60,99,16,1,1
AreyouAC?:kevin_Durant_ mao_wei_jia jinfeng123321,I,2024-3-24 16:07:00,4,112,45,17,2,0
ArsenGotov,B,2024-3-24 14:05:00,1,60,99,16,1,1
ArsenGotov,C,2024-3-24 17:23:00,1,180,61,18,1,1
ArsenGotov,F,2024-3-24 14:37:00,2,83,64,31,2,1
ArsenGotov,I,2024-3-24 17:45:00,4,112,45,17,2,1
AshrafSustS19,I,2024-3-24 13:40:00,2,112,45,17,2,0
Atharva_102,B,2024-3-24 13:24:00,1,60,99,16,1,0
Atharva_102,C,2024-3-24 13:29:00,1,180,61,18,1,0
Auroraa_,B,2024-3-24 14:56:00,1,60,99,16,1,1
Auroraa_,C,2024-3-24 15:51:00,1,180,61,18,1,1
Auroraa_,F,2024-3-24 17:14:00,1,83,64,31,2,0
Auroraa_,I,2024-3-24 15:26:00,2,112,45,17,2,1
Aust_ganjuitta:RajiunNabi AfnanRakib Rafy55,B,2024-3-24 13:40:00,1,60,99,16,1,1
Aust_ganjuitta:RajiunNabi AfnanRakib Rafy55,C,2024-3-24 16:25:00,1,180,61,18,1,1
Aust_ganjuitta:RajiunNabi AfnanRakib Rafy55,I,2024-3-24 14:34:00,4,112,45,17,2,1
Autistic_Gamblers:VinayKalura AshutoshSingh10 Homie_Lander,A,2024-3-24 13:27:00,4,85,59,68,2,0
Autistic_Gamblers:VinayKalura AshutoshSingh10 Homie_Lander,B,2024-3-24 13:13:00,1,60,99,16,1,1
Autistic_Gamblers:VinayKalura AshutoshSingh10 Homie_Lander,C,2024-3-24 16:21:00,22,180,61,18,1,1
Autistic_Gamblers:VinayKalura AshutoshSingh10 Homie_Lander,E,2024-3-24 13:22:00,1,166,36,38,2,0
Autistic_Gamblers:VinayKalura AshutoshSingh10 Homie_Lander,F,2024-3-24 17:48:00,6,83,64,31,2,0
Autistic_Gamblers:VinayKalura AshutoshSingh10 Homie_Lander,I,2024-3-24 15:21:00,6,112,45,17,2,1
AwesomeTeamJr.:thatsramen _VeNoM_ I_Love_Sonechka,B,2024-3-24 14:36:00,1,60,99,16,1,1
AwesomeTeamJr.:thatsramen _VeNoM_ I_Love_Sonechka,C,2024-3-24 14:42:00,3,180,61,18,1,1
AwesomeTeamJr.:thatsramen _VeNoM_ I_Love_Sonechka,F,2024-3-24 15:22:00,1,83,64,31,2,1
AwesomeTeamJr.:thatsramen _VeNoM_ I_Love_Sonechka,I,2024-3-24 13:52:00,2,112,45,17,2,1
AyuAnchor,B,2024-3-24 13:08:00,1,60,99,16,1,1
AyuAnchor,C,2024-3-24 17:47:00,5,180,61,18,1,1
AyuAnchor,I,2024-3-24 14:20:00,4,112,45,17,2,1
B1tBeast,B,2024-3-24 15:24:00,1,60,99,16,1,0
BEAST_17,A,2024-3-24 17:26:00,1,85,59,68,2,0
BEAST_17,B,2024-3-24 13:11:00,1,60,99,16,1,0
BEAST_17,C,2024-3-24 13:21:00,1,180,61,18,1,0
BEAST_17,D,2024-3-24 13:28:00,1,228,148,169,2,0
BEAST_17,F,2024-3-24 13:40:00,1,83,64,31,2,0
BEAST_17,G,2024-3-24 13:45:00,1,210,141,192,1,0
BEAST_17,H,2024-3-24 13:46:00,1,202,96,26,2,0
BEAST_17,I,2024-3-24 13:34:00,1,112,45,17,2,0
BEAST_17,J,2024-3-24 13:50:00,1,212,145,156,2,0
BEAST_17,K,2024-3-24 13:52:00,1,96,83,102,2,0
BINARYBOYS:AK2507 kssabhinav ishaan,B,2024-3-24 15:40:00,2,60,99,16,1,1
BKDN.Siuuuuuuu:LeHuynhDuc bkdn23._N_H_A_T_,B,2024-3-24 13:32:00,2,60,99,16,1,1
BKDN.Siuuuuuuu:LeHuynhDuc bkdn23._N_H_A_T_,C,2024-3-24 16:02:00,2,180,61,18,1,0
BKDN.Siuuuuuuu:LeHuynhDuc bkdn23._N_H_A_T_,I,2024-3-24 15:02:00,3,112,45,17,2,1
BLUE:ALeonidou Trumling MavrosOplarxigos,B,2024-3-24 13:22:00,1,60,99,16,1,1
BLUE:ALeonidou Trumling MavrosOplarxigos,C,2024-3-24 14:02:00,1,180,61,18,1,1
BLUE:ALeonidou Trumling MavrosOplarxigos,E,2024-3-24 15:35:00,4,166,36,38,2,0
BLUE:ALeonidou Trumling MavrosOplarxigos,F,2024-3-24 15:23:00,1,83,64,31,2,0
BLUE:ALeonidou Trumling MavrosOplarxigos,I,2024-3-24 14:18:00,2,112,45,17,2,0
BabYbuiii,B,2024-3-24 14:29:00,1,60,99,16,1,0
BabyPenguin:mo_onrabbit2 Worteltje Retro3014,A,2024-3-24 16:27:00,8,85,59,68,2,1
BabyPenguin:mo_onrabbit2 Worteltje Retro3014,B,2024-3-24 13:21:00,1,60,99,16,1,1
BabyPenguin:mo_onrabbit2 Worteltje Retro3014,C,2024-3-24 13:34:00,2,180,61,18,1,1
BabyPenguin:mo_onrabbit2 Worteltje Retro3014,D,2024-3-24 16:38:00,1,228,148,169,2,1
BabyPenguin:mo_onrabbit2 Worteltje Retro3014,F,2024-3-24 13:56:00,2,83,64,31,2,1
BabyPenguin:mo_onrabbit2 Worteltje Retro3014,G,2024-3-24 14:37:00,2,210,141,192,1,1
BabyPenguin:mo_onrabbit2 Worteltje Retro3014,I,2024-3-24 13:36:00,3,112,45,17,2,1
BabyPenguin:mo_onrabbit2 Worteltje Retro3014,J,2024-3-24 17:59:00,12,212,145,156,2,0
Babylon:kematian cemil1234,B,2024-3-24 17:59:00,8,60,99,16,1,0
Babylon:kematian cemil1234,C,2024-3-24 17:42:00,4,180,61,18,1,1
Babylon:kematian cemil1234,I,2024-3-24 17:49:00,7,112,45,17,2,0
Bahubali:Grylls anubhav38 tushit1419,B,2024-3-24 14:34:00,3,60,99,16,1,1
Bahubali:Grylls anubhav38 tushit1419,I,2024-3-24 17:56:00,5,112,45,17,2,0
Bala_krishna,B,2024-3-24 13:52:00,2,60,99,16,1,0
BendoWasTaken,B,2024-3-24 15:11:00,1,60,99,16,1,1
BendoWasTaken,C,2024-3-24 14:42:00,4,180,61,18,1,1
BendoWasTaken,G,2024-3-24 17:59:00,4,210,141,192,1,0
BendoWasTaken,I,2024-3-24 17:43:00,11,112,45,17,2,1
BeyondThreeWolves:Kevin114514 CrTsIr Atomic-Jellyfish,A,2024-3-24 17:59:00,2,85,59,68,2,0
BeyondThreeWolves:Kevin114514 CrTsIr Atomic-Jellyfish,B,2024-3-24 13:13:00,1,60,99,16,1,1
BeyondThreeWolves:Kevin114514 CrTsIr Atomic-Jellyfish,C,2024-3-24 13:47:00,2,180,61,18,1,1
BeyondThreeWolves:Kevin114514 CrTsIr Atomic-Jellyfish,D,2024-3-24 16:36:00,6,228,148,169,2,1
BeyondThreeWolves:Kevin114514 CrTsIr Atomic-Jellyfish,E,2024-3-24 14:48:00,17,166,36,38,2,1
BeyondThreeWolves:Kevin114514 CrTsIr Atomic-Jellyfish,F,2024-3-24 14:35:00,2,83,64,31,2,1
BeyondThreeWolves:Kevin114514 CrTsIr Atomic-Jellyfish,G,2024-3-24 14:52:00,1,210,141,192,1,1
BeyondThreeWolves:Kevin114514 CrTsIr Atomic-Jellyfish,H,2024-3-24 14:20:00,3,202,96,26,2,0
BeyondThreeWolves:Kevin114514 CrTsIr Atomic-Jellyfish,I,2024-3-24 13:22:00,1,112,45,17,2,1
BeyondThreeWolves:Kevin114514 CrTsIr Atomic-Jellyfish,J,2024-3-24 15:11:00,2,212,145,156,2,1
BeyondThreeWolves:Kevin114514 CrTsIr Atomic-Jellyfish,K,2024-3-24 17:25:00,3,96,83,102,2,1
Bhindi_ke_Parathe:Mr_Blind Aryan_Sehrawat KunalSinghChauhan,B,2024-3-24 13:59:00,3,60,99,16,1,1
Bhindi_ke_Parathe:Mr_Blind Aryan_Sehrawat KunalSinghChauhan,C,2024-3-24 15:53:00,2,180,61,18,1,1
Bhindi_ke_Parathe:Mr_Blind Aryan_Sehrawat KunalSinghChauhan,I,2024-3-24 14:50:00,4,112,45,17,2,0
BigFlow,B,2024-3-24 17:13:00,1,60,99,16,1,1
Bilal.Coder,B,2024-3-24 13:31:00,6,60,99,16,1,0
BitShifters:daksh_arora DeepakPrajapati brajesh_muwel17,B,2024-3-24 14:10:00,2,60,99,16,1,1
BitShifters:daksh_arora DeepakPrajapati brajesh_muwel17,C,2024-3-24 17:07:00,8,180,61,18,1,1
BitShifters:daksh_arora DeepakPrajapati brajesh_muwel17,I,2024-3-24 15:32:00,4,112,45,17,2,1
Blueawa,B,2024-3-24 13:28:00,1,60,99,16,1,1
Blueawa,I,2024-3-24 16:23:00,3,112,45,17,2,0
Boboge,B,2024-3-24 13:27:00,1,60,99,16,1,1
Boboge,C,2024-3-24 14:23:00,1,180,61,18,1,1
Boboge,F,2024-3-24 16:40:00,5,83,64,31,2,1
Boboge,G,2024-3-24 17:31:00,1,210,141,192,1,0
Boboge,I,2024-3-24 13:44:00,1,112,45,17,2,1
BreakTheStreak:ho-oh Rushit27 m4nd4lori4n,A,2024-3-24 14:56:00,1,85,59,68,2,0
BreakTheStreak:ho-oh Rushit27 m4nd4lori4n,B,2024-3-24 13:18:00,1,60,99,16,1,1
