who,problem,when,try,problem_len,input_len,output_len,diff,result,start_time,consume_time
#NAME?,B,2024-03-22 18:41:00,7,95,95,23,0,1,2024-03-22 17:35:00,66.0
#NAME?,A,2024-03-22 18:57:00,1,139,85,21,0,1,2024-03-22 18:41:00,16.0
#NAME?,C,2024-03-22 18:57:00,2,95,116,44,1,1,2024-03-22 18:57:00,0.0
*--dpkg--,B,2024-03-22 18:09:00,1,95,95,23,0,0,2024-03-22 17:35:00,34.0
*--dpkg--,C,2024-03-22 18:49:00,3,95,116,44,1,0,2024-03-22 18:09:00,40.0
*1999gaga,A,2024-03-22 17:54:00,1,139,85,21,0,0,2024-03-22 17:35:00,19.0
*1999gaga,B,2024-03-22 19:20:00,4,95,95,23,0,0,2024-03-22 17:54:00,86.0
*21r21a1206,A,2024-03-22 18:57:00,3,139,85,21,0,0,2024-03-22 17:35:00,82.0
*21r21a1206,B,2024-03-22 19:26:00,3,95,95,23,0,0,2024-03-22 18:57:00,29.0
*2210030494,A,2024-03-22 19:06:00,3,139,85,21,0,0,2024-03-22 17:35:00,91.0
*2210030494,B,2024-03-22 19:24:00,6,95,95,23,0,0,2024-03-22 19:06:00,18.0
*ABBAS_04.,A,2024-03-22 18:09:00,1,139,85,21,0,0,2024-03-22 17:35:00,34.0
*ABBAS_04.,B,2024-03-22 19:24:00,1,95,95,23,0,0,2024-03-22 18:09:00,75.0
*ASHWANTH_K,A,2024-03-22 17:41:00,1,139,85,21,0,1,2024-03-22 17:35:00,6.0
*ASHWANTH_K,B,2024-03-22 17:49:00,2,95,95,23,0,1,2024-03-22 17:41:00,8.0
*ASHWANTH_K,C,2024-03-22 18:03:00,1,95,116,44,1,1,2024-03-22 17:49:00,14.0
*ASHWANTH_K,D,2024-03-22 18:51:00,1,115,96,25,1,1,2024-03-22 18:03:00,48.0
*ASHWANTH_K,E,2024-03-22 19:21:00,1,121,128,20,2,1,2024-03-22 18:51:00,30.0
*A_Le_K,A,2024-03-22 17:44:00,2,139,85,21,0,1,2024-03-22 17:35:00,9.0
*A_Le_K,B,2024-03-22 17:50:00,1,95,95,23,0,1,2024-03-22 17:44:00,6.0
*A_Le_K,C,2024-03-22 18:02:00,1,95,116,44,1,1,2024-03-22 17:50:00,12.0
*A_Le_K,D,2024-03-22 18:36:00,1,115,96,25,1,1,2024-03-22 18:02:00,34.0
*A_Le_K,E,2024-03-22 19:11:00,1,121,128,20,2,1,2024-03-22 18:36:00,35.0
*Abdulrahman27,A,2024-03-22 17:39:00,1,139,85,21,0,1,2024-03-22 17:35:00,4.0
*Abdulrahman27,B,2024-03-22 17:48:00,2,95,95,23,0,1,2024-03-22 17:39:00,9.0
*Abdulrahman27,C,2024-03-22 18:07:00,1,95,116,44,1,1,2024-03-22 17:48:00,19.0
*Abdulrahman27,D,2024-03-22 18:55:00,3,115,96,25,1,0,2024-03-22 18:07:00,48.0
*Abhishek_Srivastava,A,2024-03-22 17:39:00,1,139,85,21,0,1,2024-03-22 17:35:00,4.0
*Abhishek_Srivastava,B,2024-03-22 17:51:00,2,95,95,23,0,1,2024-03-22 17:39:00,12.0
*Abhishek_Srivastava,C,2024-03-22 18:00:00,2,95,116,44,1,1,2024-03-22 17:51:00,9.0
*Abhishek_Srivastava,D,2024-03-22 18:12:00,1,115,96,25,1,0,2024-03-22 18:00:00,12.0
*Aestivate,A,2024-03-22 17:37:00,1,139,85,21,0,1,2024-03-22 17:35:00,2.0
*Aestivate,C,2024-03-22 17:49:00,1,95,116,44,1,1,2024-03-22 17:37:00,12.0
*Aestivate,B,2024-03-22 17:51:00,2,95,95,23,0,1,2024-03-22 17:49:00,2.0
*Aestivate,D,2024-03-22 18:19:00,2,115,96,25,1,1,2024-03-22 17:51:00,28.0
*Aestivate,E,2024-03-22 19:11:00,2,121,128,20,2,1,2024-03-22 18:19:00,52.0
*Aging1986,A,2024-03-22 17:37:00,1,139,85,21,0,1,2024-03-22 17:35:00,2.0
*Aging1986,B,2024-03-22 17:50:00,1,95,95,23,0,1,2024-03-22 17:37:00,13.0
*Aging1986,C,2024-03-22 17:56:00,1,95,116,44,1,1,2024-03-22 17:50:00,6.0
*Aging1986,D,2024-03-22 18:45:00,6,115,96,25,1,0,2024-03-22 17:56:00,49.0
*Ahmed57,A,2024-03-22 17:37:00,1,139,85,21,0,1,2024-03-22 17:35:00,2.0
*Ahmed57,B,2024-03-22 17:45:00,3,95,95,23,0,1,2024-03-22 17:37:00,8.0
*Ahmed57,D,2024-03-22 18:06:00,1,115,96,25,1,1,2024-03-22 17:45:00,21.0
*Ahmed57,C,2024-03-22 18:14:00,1,95,116,44,1,1,2024-03-22 18:06:00,8.0
*Ahmed57,E,2024-03-22 18:45:00,1,121,128,20,2,1,2024-03-22 18:14:00,31.0
*Alfeh,A,2024-03-22 17:38:00,1,139,85,21,0,1,2024-03-22 17:35:00,3.0
*Alfeh,B,2024-03-22 17:43:00,1,95,95,23,0,1,2024-03-22 17:38:00,5.0
*Alfeh,C,2024-03-22 17:56:00,1,95,116,44,1,1,2024-03-22 17:43:00,13.0
*Alfeh,D,2024-03-22 18:37:00,2,115,96,25,1,1,2024-03-22 17:56:00,41.0
*Alfeh,E,2024-03-22 19:17:00,1,121,128,20,2,1,2024-03-22 18:37:00,40.0
*Andreasyan,F,2024-03-22 18:02:00,1,93,136,15,2,1,2024-03-22 17:35:00,27.0
*Andreasyan,E,2024-03-22 18:19:00,1,121,128,20,2,1,2024-03-22 18:02:00,17.0
*Andreasyan,D,2024-03-22 18:42:00,2,115,96,25,1,1,2024-03-22 18:19:00,23.0
*Andwerp,A,2024-03-22 18:30:00,8,139,85,21,0,1,2024-03-22 17:35:00,55.0
*Andwerp,B,2024-03-22 18:38:00,1,95,95,23,0,1,2024-03-22 18:30:00,8.0
*Anitha10,A,2024-03-22 18:32:00,1,139,85,21,0,0,2024-03-22 17:35:00,57.0
*Anitha10,C,2024-03-22 18:33:00,1,95,116,44,1,0,2024-03-22 18:32:00,1.0
*Antim29,A,2024-03-22 17:42:00,1,139,85,21,0,0,2024-03-22 17:35:00,7.0
*Antim29,B,2024-03-22 18:32:00,1,95,95,23,0,0,2024-03-22 17:42:00,50.0
*ArtAlex,A,2024-03-22 17:38:00,1,139,85,21,0,1,2024-03-22 17:35:00,3.0
*ArtAlex,B,2024-03-22 17:46:00,3,95,95,23,0,1,2024-03-22 17:38:00,8.0
*ArtAlex,C,2024-03-22 17:52:00,1,95,116,44,1,1,2024-03-22 17:46:00,6.0
*ArtAlex,D,2024-03-22 18:10:00,1,115,96,25,1,1,2024-03-22 17:52:00,18.0
*Aryan1674,A,2024-03-22 17:43:00,1,139,85,21,0,0,2024-03-22 17:35:00,8.0
*Aryan1674,B,2024-03-22 18:34:00,2,95,95,23,0,0,2024-03-22 17:43:00,51.0
*Asmaa_Elsayed,A,2024-03-22 17:49:00,1,139,85,21,0,0,2024-03-22 17:35:00,14.0
*Asmaa_Elsayed,B,2024-03-22 18:37:00,1,95,95,23,0,0,2024-03-22 17:49:00,48.0
*AwakeAnay,C,2024-03-22 18:05:00,1,95,116,44,1,1,2024-03-22 17:35:00,30.0
*AwakeAnay,B,2024-03-22 18:10:00,1,95,95,23,0,1,2024-03-22 18:05:00,5.0
*AwakeAnay,A,2024-03-22 18:16:00,3,139,85,21,0,1,2024-03-22 18:10:00,6.0
*AwakeAnay,E,2024-03-22 18:45:00,1,121,128,20,2,1,2024-03-22 18:16:00,29.0
*AyushPratapSingh,A,2024-03-22 18:25:00,4,139,85,21,0,0,2024-03-22 17:35:00,50.0
*AyushPratapSingh,B,2024-03-22 18:41:00,1,95,95,23,0,0,2024-03-22 18:25:00,16.0
*Ayush_agrahari,A,2024-03-22 17:55:00,1,139,85,21,0,0,2024-03-22 17:35:00,20.0
*Ayush_agrahari,B,2024-03-22 18:21:00,2,95,95,23,0,0,2024-03-22 17:55:00,26.0
*BucketPotato,A,2024-03-22 17:37:00,1,139,85,21,0,1,2024-03-22 17:35:00,2.0
*BucketPotato,B,2024-03-22 17:40:00,1,95,95,23,0,1,2024-03-22 17:37:00,3.0
*BucketPotato,C,2024-03-22 17:45:00,1,95,116,44,1,1,2024-03-22 17:40:00,5.0
*BucketPotato,D,2024-03-22 18:22:00,1,115,96,25,1,1,2024-03-22 17:45:00,37.0
*BucketPotato,E,2024-03-22 18:57:00,1,121,128,20,2,1,2024-03-22 18:22:00,35.0
*BucketPotato,F,2024-03-22 19:07:00,2,93,136,15,2,1,2024-03-22 18:57:00,10.0
*BurnedChicken,A,2024-03-22 17:36:00,1,139,85,21,0,1,2024-03-22 17:35:00,1.0
*BurnedChicken,B,2024-03-22 17:39:00,1,95,95,23,0,1,2024-03-22 17:36:00,3.0
*BurnedChicken,C,2024-03-22 17:42:00,1,95,116,44,1,1,2024-03-22 17:39:00,3.0
*BurnedChicken,D,2024-03-22 17:47:00,1,115,96,25,1,1,2024-03-22 17:42:00,5.0
*BurnedChicken,E,2024-03-22 17:57:00,1,121,128,20,2,1,2024-03-22 17:47:00,10.0
*BurnedChicken,F,2024-03-22 18:29:00,3,93,136,15,2,1,2024-03-22 17:57:00,32.0
*ButterflyDew,A,2024-03-22 17:41:00,1,139,85,21,0,1,2024-03-22 17:35:00,6.0
*ButterflyDew,B,2024-03-22 17:52:00,2,95,95,23,0,1,2024-03-22 17:41:00,11.0
*ButterflyDew,C,2024-03-22 18:02:00,1,95,116,44,1,1,2024-03-22 17:52:00,10.0
*ButterflyDew,D,2024-03-22 18:31:00,1,115,96,25,1,1,2024-03-22 18:02:00,29.0
*ButterflyDew,E,2024-03-22 19:13:00,3,121,128,20,2,1,2024-03-22 18:31:00,42.0
*CALLSIGN_NULL_,E,2024-03-22 18:00:00,1,121,128,20,2,1,2024-03-22 17:35:00,25.0
*CALLSIGN_NULL_,F,2024-03-22 19:34:00,8,93,136,15,2,1,2024-03-22 18:00:00,94.0
*CMRIT25_21R01A6635,A,2024-03-22 18:18:00,1,139,85,21,0,0,2024-03-22 17:35:00,43.0
*CMRIT25_21R01A6635,B,2024-03-22 18:25:00,1,95,95,23,0,0,2024-03-22 18:18:00,7.0
*Capps,A,2024-03-22 17:42:00,1,139,85,21,0,1,2024-03-22 17:35:00,7.0
*Capps,B,2024-03-22 17:58:00,2,95,95,23,0,1,2024-03-22 17:42:00,16.0
*Capps,C,2024-03-22 18:24:00,1,95,116,44,1,1,2024-03-22 17:58:00,26.0
*Capps,E,2024-03-22 18:43:00,1,121,128,20,2,1,2024-03-22 18:24:00,19.0
*Coder2510,A,2024-03-22 17:51:00,1,139,85,21,0,0,2024-03-22 17:35:00,16.0
*Coder2510,B,2024-03-22 19:33:00,1,95,95,23,0,0,2024-03-22 17:51:00,102.0
*D_phoenix3662,A,2024-03-22 18:08:00,2,139,85,21,0,0,2024-03-22 17:35:00,33.0
*D_phoenix3662,B,2024-03-22 18:35:00,4,95,95,23,0,0,2024-03-22 18:08:00,27.0
*Dhakshayan,A,2024-03-22 18:55:00,6,139,85,21,0,0,2024-03-22 17:35:00,80.0
*Dhakshayan,C,2024-03-22 19:02:00,2,95,116,44,1,0,2024-03-22 18:55:00,7.0
*Dhakshayan,D,2024-03-22 19:03:00,2,115,96,25,1,0,2024-03-22 19:02:00,1.0
*Dhakshayan,E,2024-03-22 19:03:00,2,121,128,20,2,0,2024-03-22 19:03:00,0.0
*Dhakshayan,F,2024-03-22 19:03:00,2,93,136,15,2,0,2024-03-22 19:03:00,0.0
*Dhakshayan,B,2024-03-22 19:04:00,5,95,95,23,0,0,2024-03-22 19:03:00,1.0
*Dominater069,A,2024-03-22 17:37:00,1,139,85,21,0,1,2024-03-22 17:35:00,2.0
*Dominater069,B,2024-03-22 17:43:00,1,95,95,23,0,1,2024-03-22 17:37:00,6.0
*Dominater069,C,2024-03-22 17:54:00,2,95,116,44,1,1,2024-03-22 17:43:00,11.0
*Dominater069,E,2024-03-22 18:19:00,1,121,128,20,2,1,2024-03-22 17:54:00,25.0
*Dominater069,D,2024-03-22 18:41:00,1,115,96,25,1,1,2024-03-22 18:19:00,22.0
*Dominater069,F,2024-03-22 19:22:00,6,93,136,15,2,1,2024-03-22 18:41:00,41.0
*Doodh_waala,A,2024-03-22 18:21:00,3,139,85,21,0,0,2024-03-22 17:35:00,46.0
*Doodh_waala,B,2024-03-22 18:25:00,2,95,95,23,0,0,2024-03-22 18:21:00,4.0
*Dorothy__,A,2024-03-22 17:39:00,1,139,85,21,0,1,2024-03-22 17:35:00,4.0
*Dorothy__,B,2024-03-22 17:43:00,1,95,95,23,0,1,2024-03-22 17:39:00,4.0
*Dorothy__,C,2024-03-22 17:53:00,1,95,116,44,1,1,2024-03-22 17:43:00,10.0
*Dorothy__,D,2024-03-22 18:13:00,2,115,96,25,1,1,2024-03-22 17:53:00,20.0
*Dorothy__,E,2024-03-22 18:54:00,2,121,128,20,2,1,2024-03-22 18:13:00,41.0
*Drakkon,A,2024-03-22 17:39:00,1,139,85,21,0,1,2024-03-22 17:35:00,4.0
*Drakkon,B,2024-03-22 17:50:00,1,95,95,23,0,1,2024-03-22 17:39:00,11.0
*Drakkon,C,2024-03-22 18:03:00,2,95,116,44,1,1,2024-03-22 17:50:00,13.0
*Drakkon,D,2024-03-22 18:17:00,1,115,96,25,1,1,2024-03-22 18:03:00,14.0
*DylanSmith,A,2024-03-22 17:37:00,1,139,85,21,0,1,2024-03-22 17:35:00,2.0
*DylanSmith,B,2024-03-22 17:42:00,1,95,95,23,0,1,2024-03-22 17:37:00,5.0
*DylanSmith,C,2024-03-22 17:59:00,1,95,116,44,1,1,2024-03-22 17:42:00,17.0
*DylanSmith,D,2024-03-22 18:17:00,1,115,96,25,1,1,2024-03-22 17:59:00,18.0
*DylanSmith,E,2024-03-22 18:34:00,3,121,128,20,2,1,2024-03-22 18:17:00,17.0
*DylanSmith,F,2024-03-22 19:22:00,4,93,136,15,2,1,2024-03-22 18:34:00,48.0
*Eddard,A,2024-03-22 17:40:00,1,139,85,21,0,1,2024-03-22 17:35:00,5.0
*Eddard,B,2024-03-22 17:57:00,2,95,95,23,0,1,2024-03-22 17:40:00,17.0
*Eddard,C,2024-03-22 18:17:00,1,95,116,44,1,1,2024-03-22 17:57:00,20.0
*Eddard,D,2024-03-22 18:59:00,2,115,96,25,1,1,2024-03-22 18:17:00,42.0
*Eddard,E,2024-03-22 19:25:00,1,121,128,20,2,1,2024-03-22 18:59:00,26.0
*Experto_Besherunom,A,2024-03-22 17:40:00,1,139,85,21,0,0,2024-03-22 17:35:00,5.0
*Experto_Besherunom,B,2024-03-22 17:50:00,1,95,95,23,0,0,2024-03-22 17:40:00,10.0
*Experto_Besherunom,C,2024-03-22 18:13:00,1,95,116,44,1,0,2024-03-22 17:50:00,23.0
*Experto_Besherunom,D,2024-03-22 19:13:00,1,115,96,25,1,0,2024-03-22 18:13:00,60.0
*Faiz-ur-Rehman_,A,2024-03-22 18:35:00,1,139,85,21,0,0,2024-03-22 17:35:00,60.0
*Faiz-ur-Rehman_,B,2024-03-22 19:24:00,1,95,95,23,0,0,2024-03-22 18:35:00,49.0
*Flandre,A,2024-03-22 17:39:00,1,139,85,21,0,1,2024-03-22 17:35:00,4.0
*Flandre,B,2024-03-22 17:44:00,1,95,95,23,0,1,2024-03-22 17:39:00,5.0
*Flandre,C,2024-03-22 17:52:00,1,95,116,44,1,1,2024-03-22 17:44:00,8.0
*Flandre,E,2024-03-22 18:18:00,1,121,128,20,2,1,2024-03-22 17:52:00,26.0
*Flandre,D,2024-03-22 18:38:00,1,115,96,25,1,1,2024-03-22 18:18:00,20.0
*Flandre,F,2024-03-22 19:07:00,2,93,136,15,2,1,2024-03-22 18:38:00,29.0
*FromOceans,A,2024-03-22 17:37:00,2,139,85,21,0,1,2024-03-22 17:35:00,2.0
*FromOceans,B,2024-03-22 17:42:00,1,95,95,23,0,1,2024-03-22 17:37:00,5.0
*FromOceans,C,2024-03-22 17:49:00,1,95,116,44,1,1,2024-03-22 17:42:00,7.0
*FromOceans,D,2024-03-22 18:06:00,1,115,96,25,1,1,2024-03-22 17:49:00,17.0
*FromOceans,E,2024-03-22 18:24:00,1,121,128,20,2,1,2024-03-22 18:06:00,18.0
*FromOceans,F,2024-03-22 18:47:00,1,93,136,15,2,1,2024-03-22 18:24:00,23.0
*Fuad_Hasan43,A,2024-03-22 18:10:00,2,139,85,21,0,0,2024-03-22 17:35:00,35.0
*Fuad_Hasan43,B,2024-03-22 18:48:00,2,95,95,23,0,0,2024-03-22 18:10:00,38.0
*Gassa,C,2024-03-22 17:49:00,1,95,116,44,1,1,2024-03-22 17:35:00,14.0
*Gassa,A,2024-03-22 18:02:00,1,139,85,21,0,1,2024-03-22 17:49:00,13.0
*Gassa,B,2024-03-22 18:02:00,2,95,95,23,0,1,2024-03-22 18:02:00,0.0
*Gassa,E,2024-03-22 19:34:00,1,121,128,20,2,1,2024-03-22 18:02:00,92.0
*Gayathrie,A,2024-03-22 18:37:00,4,139,85,21,0,0,2024-03-22 17:35:00,62.0
*Gayathrie,B,2024-03-22 18:38:00,1,95,95,23,0,0,2024-03-22 18:37:00,1.0
*Geothermal,A,2024-03-22 17:36:00,1,139,85,21,0,1,2024-03-22 17:35:00,1.0
*Geothermal,B,2024-03-22 17:38:00,1,95,95,23,0,1,2024-03-22 17:36:00,2.0
*Geothermal,C,2024-03-22 17:42:00,1,95,116,44,1,1,2024-03-22 17:38:00,4.0
*Geothermal,E,2024-03-22 17:53:00,2,121,128,20,2,1,2024-03-22 17:42:00,11.0
*Geothermal,D,2024-03-22 18:00:00,3,115,96,25,1,1,2024-03-22 17:53:00,7.0
*Geothermal,F,2024-03-22 18:31:00,1,93,136,15,2,1,2024-03-22 18:00:00,31.0
*Gilwall,A,2024-03-22 17:37:00,1,139,85,21,0,1,2024-03-22 17:35:00,2.0
*Gilwall,B,2024-03-22 17:43:00,2,95,95,23,0,1,2024-03-22 17:37:00,6.0
*Golovanov399,A,2024-03-22 17:37:00,1,139,85,21,0,1,2024-03-22 17:35:00,2.0
*Golovanov399,B,2024-03-22 17:39:00,1,95,95,23,0,1,2024-03-22 17:37:00,2.0
*Golovanov399,C,2024-03-22 17:46:00,1,95,116,44,1,1,2024-03-22 17:39:00,7.0
