who,problem,when,try,problem_len,input_len,output_len,diff,result
#NAME?,B,2024-05-26 18:27:00,18,67,38,37,0,1
#NAME?,C,2024-05-26 18:39:00,19,133,64,14,1,1
*21r21a1206,A,2024-05-26 18:58:00,2,66,35,38,0,0
*21r21a1206,B,2024-05-26 19:03:00,2,67,38,37,0,0
*220020058,B,2024-05-26 18:28:00,14,67,38,37,0,0
*220020058,C,2024-05-26 19:16:00,4,133,64,14,1,0
*22211a6636,A,2024-05-26 18:22:00,16,66,35,38,0,0
*22211a6636,B,2024-05-26 18:55:00,4,67,38,37,0,0
*22211a6636,C,2024-05-26 19:22:00,5,133,64,14,1,0
*22211a6758,B,2024-05-26 18:31:00,2,67,38,37,0,0
*415411,E,2024-05-26 19:31:00,3,238,45,215,2,0
*7oSSam_JR,B,2024-05-26 19:02:00,2,67,38,37,0,0
*7oSSam_JR,A,2024-05-26 19:05:00,2,66,35,38,0,0
*7oSSam_JR,C,2024-05-26 19:12:00,2,133,64,14,1,0
*874641984,D,2024-05-26 18:52:00,13,60,60,56,1,1
*888andrei888,B,2024-05-26 18:16:00,7,67,38,37,0,0
*ASHWANTH_K,D,2024-05-26 19:20:00,10,60,60,56,1,0
*A_man007,B,2024-05-26 18:38:00,5,67,38,37,0,0
*Aaryan_782,B,2024-05-26 19:04:00,2,67,38,37,0,0
*Aayan20004,B,2024-05-26 18:17:00,9,67,38,37,0,0
*Abhinav_Shukla1,B,2024-05-26 18:13:00,7,67,38,37,0,0
*AdarshSharma__,B,2024-05-26 18:40:00,2,67,38,37,0,0
*Aditya_singh_yadav,B,2024-05-26 19:19:00,3,67,38,37,0,0
*Ahasan_Akash,B,2024-05-26 19:09:00,2,67,38,37,0,0
*Akki__,B,2024-05-26 18:17:00,1,67,38,37,0,0
*Alassiess242,A,2024-05-26 18:29:00,4,66,35,38,0,0
*Alpha_Q,D,2024-05-26 18:35:00,3,60,60,56,1,1
*Alx,D,2024-05-26 18:43:00,25,60,60,56,1,1
*Aman_pathan,B,2024-05-26 18:55:00,2,67,38,37,0,0
*AmirAli-Asgari,C,2024-05-26 18:15:00,1,133,64,14,1,1
*AmirAli-Asgari,D,2024-05-26 18:39:00,5,60,60,56,1,1
*AmirAli-Asgari,E,2024-05-26 19:34:00,1,238,45,215,2,0
*AmiralyB,A,2024-05-26 18:29:00,6,66,35,38,0,0
*Amor-Mousa,C,2024-05-26 19:11:00,4,133,64,14,1,0
*Anshu_Roy,B,2024-05-26 18:24:00,5,67,38,37,0,0
*Anshu_Roy,C,2024-05-26 18:39:00,10,133,64,14,1,0
*AnubhavMI,B,2024-05-26 18:33:00,2,67,38,37,0,0
*Anubhav_Sultania,B,2024-05-26 18:33:00,2,67,38,37,0,0
*Ar_Minas,C,2024-05-26 19:12:00,9,133,64,14,1,0
*Arsenal_for_life,A,2024-05-26 18:23:00,2,66,35,38,0,0
*Arsenal_for_life,B,2024-05-26 18:56:00,4,67,38,37,0,0
*Arsenal_for_life,C,2024-05-26 19:19:00,2,133,64,14,1,0
*Arsenal_for_life,D,2024-05-26 19:28:00,2,60,60,56,1,0
*AvisNura,C,2024-05-26 19:29:00,2,133,64,14,1,0
*Ayush_Gupta_1108,B,2024-05-26 18:41:00,2,67,38,37,0,0
*Ayush_Gupta_1108,C,2024-05-26 19:24:00,3,133,64,14,1,0
*Be_dos,D,2024-05-26 19:13:00,8,60,60,56,1,1
*BeepRebel,B,2024-05-26 18:36:00,2,67,38,37,0,0
*BeepRebel,C,2024-05-26 19:19:00,4,133,64,14,1,0
*Bhanu0p,B,2024-05-26 18:42:00,3,67,38,37,0,0
*BhuvanG,D,2024-05-26 18:52:00,2,60,60,56,1,0
*BhuvanG,C,2024-05-26 19:23:00,7,133,64,14,1,0
*BlueDiamond,C,2024-05-26 18:28:00,4,133,64,14,1,1
*BlueDiamond,D,2024-05-26 18:42:00,8,60,60,56,1,1
*BlueDiamond,E,2024-05-26 19:32:00,6,238,45,215,2,0
*Boboge,C,2024-05-26 18:26:00,8,133,64,14,1,1
*Boboge,D,2024-05-26 19:21:00,3,60,60,56,1,1
*Bucketsmith,D,2024-05-26 18:18:00,1,60,60,56,1,1
*Bucketsmith,E,2024-05-26 18:43:00,5,238,45,215,2,1
*BurnedChicken,E,2024-05-26 18:37:00,4,238,45,215,2,1
*CMRIT25_21r01a0540,A,2024-05-26 18:41:00,4,66,35,38,0,0
*CMRIT25_21r01a0540,B,2024-05-26 18:46:00,2,67,38,37,0,0
*CaPSanS623,A,2024-05-26 18:12:00,1,66,35,38,0,0
*CaPSanS623,B,2024-05-26 19:07:00,2,67,38,37,0,0
*Charitareddy_0,A,2024-05-26 18:17:00,29,66,35,38,0,0
*Charitareddy_0,B,2024-05-26 19:15:00,4,67,38,37,0,0
*Charitareddy_0,C,2024-05-26 19:27:00,4,133,64,14,1,0
*Clein.qwq,E,2024-05-26 18:37:00,6,238,45,215,2,0
*Codegirl2005,B,2024-05-26 18:44:00,2,67,38,37,0,0
*CoderKrish10924,B,2024-05-26 18:20:00,9,67,38,37,0,0
*Codex-Ignacio,B,2024-05-26 18:19:00,1,67,38,37,0,0
*CodingJack,B,2024-05-26 18:35:00,2,67,38,37,0,0
*CodingJack,C,2024-05-26 19:27:00,2,133,64,14,1,0
*CrazyNotorious,C,2024-05-26 18:54:00,6,133,64,14,1,0
*Cristiano_Ronaldo7,B,2024-05-26 18:17:00,4,67,38,37,0,0
