who,problem,when,problem_len,input_len,output_len,diff,result
*21r21a1206,A,2024-05-26 18:58:00,66,35,38,easy,0
*21r21a1206,A,2024-05-26 18:58:00,66,35,38,easy,0
*21r21a1206,B,2024-05-26 19:03:00,67,38,37,easy,0
*21r21a1206,B,2024-05-26 19:03:00,67,38,37,easy,0
*220020058,B,2024-05-26 18:28:00,67,38,37,easy,0
*220020058,B,2024-05-26 18:28:00,67,38,37,easy,0
*220020058,B,2024-05-26 18:28:00,67,38,37,easy,0
*220020058,B,2024-05-26 18:28:00,67,38,37,easy,0
*220020058,B,2024-05-26 18:45:00,67,38,37,easy,0
*220020058,B,2024-05-26 18:45:00,67,38,37,easy,0
*220020058,B,2024-05-26 18:53:00,67,38,37,easy,0
*220020058,B,2024-05-26 18:53:00,67,38,37,easy,0
*220020058,B,2024-05-26 18:54:00,67,38,37,easy,0
*220020058,B,2024-05-26 18:54:00,67,38,37,easy,0
*220020058,B,2024-05-26 18:54:00,67,38,37,easy,0
*220020058,B,2024-05-26 18:54:00,67,38,37,easy,0
*220020058,B,2024-05-26 18:56:00,67,38,37,easy,0
*220020058,B,2024-05-26 18:56:00,67,38,37,easy,0
*220020058,C,2024-05-26 19:16:00,133,64,14,medium,0
*220020058,C,2024-05-26 19:16:00,133,64,14,medium,0
*220020058,C,2024-05-26 19:24:00,133,64,14,medium,0
*220020058,C,2024-05-26 19:24:00,133,64,14,medium,0
*22211a6636,A,2024-05-26 18:22:00,66,35,38,easy,0
*22211a6636,A,2024-05-26 18:22:00,66,35,38,easy,0
*22211a6636,A,2024-05-26 18:22:00,66,35,38,easy,0
*22211a6636,A,2024-05-26 18:25:00,66,35,38,easy,0
*22211a6636,A,2024-05-26 18:25:00,66,35,38,easy,0
*22211a6636,A,2024-05-26 18:25:00,66,35,38,easy,0
*22211a6636,A,2024-05-26 18:25:00,66,35,38,easy,0
*22211a6636,A,2024-05-26 18:25:00,66,35,38,easy,0
*22211a6636,A,2024-05-26 18:29:00,66,35,38,easy,0
*22211a6636,A,2024-05-26 18:29:00,66,35,38,easy,0
*22211a6636,A,2024-05-26 18:29:00,66,35,38,easy,0
*22211a6636,A,2024-05-26 18:29:00,66,35,38,easy,0
*22211a6636,A,2024-05-26 18:34:00,66,35,38,easy,0
*22211a6636,A,2024-05-26 18:34:00,66,35,38,easy,0
*22211a6636,A,2024-05-26 18:37:00,66,35,38,easy,0
*22211a6636,A,2024-05-26 18:37:00,66,35,38,easy,0
*22211a6636,B,2024-05-26 18:55:00,67,38,37,easy,0
*22211a6636,B,2024-05-26 18:55:00,67,38,37,easy,0
*22211a6636,B,2024-05-26 19:00:00,67,38,37,easy,0
*22211a6636,B,2024-05-26 19:00:00,67,38,37,easy,0
*22211a6636,C,2024-05-26 19:22:00,133,64,14,medium,0
*22211a6636,C,2024-05-26 19:22:00,133,64,14,medium,0
*22211a6636,C,2024-05-26 19:28:00,133,64,14,medium,0
*22211a6636,C,2024-05-26 19:28:00,133,64,14,medium,0
*22211a6636,C,2024-05-26 19:34:00,133,64,14,medium,0
*22211a6758,B,2024-05-26 18:31:00,67,38,37,easy,0
*22211a6758,B,2024-05-26 18:31:00,67,38,37,easy,0
*415411,E,2024-05-26 19:31:00,238,45,215,hard,0
*415411,E,2024-05-26 19:32:00,238,45,215,hard,0
*415411,E,2024-05-26 19:34:00,238,45,215,hard,0
*7oSSam_JR,B,2024-05-26 19:02:00,67,38,37,easy,0
*7oSSam_JR,B,2024-05-26 19:02:00,67,38,37,easy,0
*7oSSam_JR,A,2024-05-26 19:05:00,66,35,38,easy,0
*7oSSam_JR,A,2024-05-26 19:05:00,66,35,38,easy,0
*7oSSam_JR,C,2024-05-26 19:12:00,133,64,14,medium,0
*7oSSam_JR,C,2024-05-26 19:12:00,133,64,14,medium,0
*874641984,D,2024-05-26 18:52:00,60,60,56,medium,0
*874641984,D,2024-05-26 18:52:00,60,60,56,medium,0
*874641984,D,2024-05-26 18:58:00,60,60,56,medium,0
*874641984,D,2024-05-26 18:58:00,60,60,56,medium,0
*874641984,D,2024-05-26 18:58:00,60,60,56,medium,0
