epoch,startPos,learnRate,MSE,MAE,RMSE,meanLoss,totalLoss
0,3,0.01,10686048.761624059,2582.293279480934,3268.952242175474,2740.0360696517414,550747.25
1,3,0.01,10621611.072454348,2571.1447044934216,3259.0813233876734,2728.6352611940297,548455.6875
2,3,0.01,10557616.73366737,2559.5563065494484,3249.248641404251,2717.2708333333335,546171.4375
3,3,0.01,10494689.003423408,2548.4648503826215,3239.550740986072,2705.918843283582,543889.6875
4,3,0.01,10432814.126570772,2537.7578251393943,3229.9867068721464,2695.055970149254,541706.25
5,3,0.01,10371791.46189765,2527.232542346991,3220.5265814611203,2684.445895522388,539573.625
6,3,0.01,10311556.995981399,2516.8926573936756,3211.1613157830297,2673.9993781094527,537473.875
7,3,0.01,10251882.698931782,2506.6796979922515,3201.8561333907214,2663.697450248756,535403.1875
8,3,0.01,10192891.108615836,2496.5959912657736,3192.6307504338542,2653.5488184079604,533363.3125
9,3,0.01,10134579.586103009,2486.641385456232,3183.4854461899163,2643.5976368159204,531363.125
10,3,0.01,10076772.811316075,2476.7873310914406,3174.393298146289,2633.777052238806,529389.1875
11,3,0.01,10019659.604104526,2467.081516251197,3165.3845902361572,2624.119092039801,527447.9375
12,3,0.01,9962834.633423507,2457.4567099149413,3156.3958296486685,2614.6134950248756,525537.3125
13,3,0.01,9906249.690317169,2447.8931681743034,3147.419528807237,2605.169776119403,523639.125
14,3,0.01,9849921.089064775,2438.4107380995383,3138.4583937125526,2595.7653917910447,521748.84375
15,3,0.01,9793951.632844897,2429.022007546058,3129.5289793904926,2586.432213930348,519872.875
16,3,0.01,9738134.367274916,2419.7650558783457,3120.5983989092406,2577.1481654228855,518006.78125
17,3,0.01,9682706.786690023,2410.5839378008477,3111.7048039121614,2567.917133084577,516151.34375
18,3,0.01,9627639.024013184,2401.422934721066,3102.8436995783695,2558.76072761194,514310.90625
19,3,0.01,9573170.820905527,2391.9924400714726,3094.054107624094,2549.5682524875624,512463.21875
20,3,0.01,9518612.638512485,2382.5502812165482,3085.2248926962334,2540.265236318408,510593.3125
21,3,0.01,9463759.371631335,2373.27654876709,3076.3223777152057,2531.009639303483,508732.9375
