modelType,embdDim,lossType,optimType,hiddenDim,startPos,trainType,layerNum,dropout,epoch,learnRate,MSE,MAE,RMSE,meanLoss,totalLoss,modelFile,recordFile,resultFile
LSTM,2,L1Loss,Adam,5,3,mix,1,1,19,0.01,9.194661286492903e-06,0.002924734733966713,0.0030322699890499368,0.0015646842088592185,0.2785137891769409,./model/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-27-33).pth,./train_record/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-27-23).csv2024-03-11(16-27-23).csv,./result/epoch192024-03-11(16-27-33).csv
LSTM,2,L1Loss,Adam,5,3,mix,1,1,29,0.009000000000000001,2.3098443432124053e-06,0.0012898352411254985,0.0015198172071707852,0.00023790398675404238,0.04234690964221954,./model/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-27-38).pth,./train_record/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-27-23).csv2024-03-11(16-27-23).csv,./result/2024-03-11(16-27-38).pth
LSTM,2,L1Loss,Adam,5,3,mix,1,1,38,0.008,3.889314238271368e-06,0.001800297061259771,0.0019721344371698823,0.0012185279740376418,0.21689797937870026,./model/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-27-42).pth,./train_record/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-27-23).csv2024-03-11(16-27-23).csv,./result/epoch382024-03-11(16-27-42).csv
LSTM,2,L1Loss,Adam,5,3,mix,1,1,57,0.007,6.683941671912374e-07,0.0007147448442939888,0.0008175537702140682,0.0011566043569800559,0.20587557554244995,./model/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-27-51).pth,./train_record/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-27-23).csv2024-03-11(16-27-23).csv,./result/epoch572024-03-11(16-27-51).csv
LSTM,2,L1Loss,Adam,5,3,mix,1,1,58,0.006,7.224641337942259e-07,0.0007458645974930699,0.0008499789019700583,0.0008093754059812996,0.14406882226467133,./model/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-27-51).pth,./train_record/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-27-23).csv2024-03-11(16-27-23).csv,./result/2024-03-11(16-27-51).pth
LSTM,2,L1Loss,Adam,5,3,mix,1,1,76,0.005,3.1782601160155027e-06,0.0015905421365430322,0.001782767544021234,0.0007774700107199422,0.13838966190814972,./model/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-27-59).pth,./train_record/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-27-23).csv2024-03-11(16-27-23).csv,./result/epoch762024-03-11(16-27-59).csv
LSTM,2,L1Loss,Adam,5,3,mix,1,1,87,0.004,2.7993073524867403e-06,0.0014666003938249683,0.0016731130722359264,0.00047475049334965396,0.0845055878162384,./model/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-28-05).pth,./train_record/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-27-23).csv2024-03-11(16-27-23).csv,./result/2024-03-11(16-28-05).pth
LSTM,2,L1Loss,Adam,5,3,mix,1,1,95,0.003,1.2330468428475746e-06,0.0008483457489300094,0.0011104264238784912,0.00035660680425301025,0.06347601115703583,./model/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-28-09).pth,./train_record/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-27-23).csv2024-03-11(16-27-23).csv,./result/epoch952024-03-11(16-28-09).csv
LSTM,2,L1Loss,Adam,5,3,mix,1,1,114,0.002,2.372139194874194e-06,0.0013129220367282682,0.0015401750533216001,0.0003128050502096669,0.05567929893732071,./model/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-28-18).pth,./train_record/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-27-23).csv2024-03-11(16-27-23).csv,./result/epoch1142024-03-11(16-28-18).csv
LSTM,2,L1Loss,Adam,5,3,mix,1,1,116,0.001,1.8633881106985467e-06,0.001102272052843618,0.0013650597462010763,0.00015608661839466417,0.02778341807425022,./model/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-28-20).pth,./train_record/2024-01-25test_oj_exam/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos3_trainTypemix_nLayer1_dropout1/2024-03-11(16-27-23).csv2024-03-11(16-27-23).csv,./result/2024-03-11(16-28-20).pth
