modelType,embdDim,lossType,optimType,hiddenDim,startPos,trainType,layerNum,dropout,epoch,learnRate,MSE,MAE,RMSE,meanLoss,totalLoss,modelFile,recordFile,resultFile
LSTM,3,L1Loss,Adam,5,1,mix,1,1,29,0.01,370.85847898566504,10.141780422767624,19.25768623136396,9.38907241821289,150.22515869140625,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-47).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/LSTM_epoch29_2024-09-30(12-30-47).csv
LSTM,3,L1Loss,Adam,5,1,mix,1,1,46,0.009000000000000001,371.8817451600515,10.19933630945161,19.284235664398302,8.88686466217041,142.18983459472656,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-51).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/2024-09-30(12-30-51).pth
LSTM,3,L1Loss,Adam,5,1,mix,1,1,48,0.008,374.2912941845933,10.113054851070046,19.346609371788983,8.777786254882812,140.444580078125,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-51).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/LSTM_epoch48_2024-09-30(12-30-51).csv
LSTM,3,L1Loss,Adam,5,1,mix,1,1,67,0.007,380.0740164562787,10.493496714159846,19.495487079226276,8.698285102844238,139.1725616455078,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-55).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/LSTM_epoch67_2024-09-30(12-30-55).csv
LSTM,3,L1Loss,Adam,5,1,mix,1,1,75,0.006,375.1885044451853,10.406695493729785,19.369783283382013,8.718060493469238,139.4889678955078,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-56).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/2024-09-30(12-30-56).pth
LSTM,3,L1Loss,Adam,5,1,mix,1,1,86,0.005,390.18713146725923,10.562431206228212,19.75315497502258,8.677210807800293,138.8353729248047,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-59).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/LSTM_epoch86_2024-09-30(12-30-59).csv
LSTM,3,L1Loss,Adam,5,1,mix,1,1,104,0.004,380.18607424155533,10.394103159196675,19.498360809092524,8.563447952270508,137.01516723632812,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-31-02).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/2024-09-30(12-31-02).pth
LSTM,3,L1Loss,Adam,5,1,mix,1,1,105,0.003,386.5443259365111,10.576006663497537,19.66073055449647,8.567651748657227,137.08242797851562,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-31-02).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/LSTM_epoch105_2024-09-30(12-31-02).csv
LSTM,3,L1Loss,Adam,5,1,mix,1,1,124,0.002,391.2692224353946,10.61588656809181,19.780526343740064,8.64024829864502,138.2439727783203,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-31-06).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/LSTM_epoch124_2024-09-30(12-31-06).csv
LSTM,3,L1Loss,Adam,5,1,mix,1,1,133,0.001,389.00279465211366,10.495078171370551,19.723153770432194,8.453909873962402,135.26255798339844,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-31-08).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/2024-09-30(12-31-08).pth
LSTM,3,L1Loss,Adam,5,1,mix,1,1,143,0.0009,383.263808552272,10.51523234252818,19.57712462422079,8.470754623413086,135.53207397460938,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-31-10).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/LSTM_epoch143_2024-09-30(12-31-10).csv
LSTM,3,L1Loss,Adam,5,1,mix,1,1,162,0.0007999999999999999,388.5456024409497,10.561744765378535,19.711560121942394,8.541089057922363,136.6574249267578,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-31-14).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/LSTM_epoch162_2024-09-30(12-31-14).csv
LSTM,3,L1Loss,Adam,5,1,mix,1,1,162,0.0006999999999999999,388.5456024409497,10.561744765378535,19.711560121942394,8.541089057922363,136.6574249267578,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-31-14).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/2024-09-30(12-31-14).pth
LSTM,3,L1Loss,Adam,5,1,mix,1,1,181,0.0005999999999999998,386.1152125013293,10.609603935852647,19.6498145665889,8.38348388671875,134.1357421875,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-31-18).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/LSTM_epoch181_2024-09-30(12-31-18).csv
LSTM,3,L1Loss,Adam,5,1,mix,1,1,191,0.0004999999999999998,390.4908138417374,10.541241810657084,19.760840413346227,8.47823429107666,135.65174865722656,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-31-20).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/2024-09-30(12-31-20).pth
LSTM,3,L1Loss,Adam,5,1,mix,1,1,200,0.0003999999999999998,389.9981599969021,10.53487236588262,19.74837107198723,8.461910247802734,135.39056396484375,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-31-22).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/LSTM_epoch200_2024-09-30(12-31-22).csv
LSTM,3,L1Loss,Adam,5,1,mix,1,1,219,0.0002999999999999998,391.2147032662202,10.583145500626415,19.779148193646265,8.468058586120605,135.4889373779297,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-31-26).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/LSTM_epoch219_2024-09-30(12-31-26).csv
LSTM,3,L1Loss,Adam,5,1,mix,1,1,220,0.00019999999999999982,389.64578545303704,10.51101080677472,19.73944744548431,8.451835632324219,135.2293701171875,./model/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-31-26).pth,./train_record/European Championship 2024-1/LSTM/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-09-30(12-30-41).csv2024-09-30(12-30-41).csv,./result/2024-09-30(12-31-26).pth
