modelType,embdDim,lossType,optimType,hiddenDim,startPos,trainType,layerNum,dropout,epoch,learnRate,MSE,MAE,RMSE,meanLoss,totalLoss,modelFile,recordFile,resultFile
TCN,3,L1Loss,Adam,3,3,mix,1,1,19,0.01,33.120245310706146,1.5627221947492556,5.755019140776697,1.8342264109644397,1276.62158203125,./model/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-44-01).pth,./train_record/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-42-46).csv2024-05-21(15-42-46).csv,./result/epoch192024-05-21(15-44-01).csv
TCN,3,L1Loss,Adam,3,3,mix,1,1,30,0.009000000000000001,33.136523360880275,1.565498794658586,5.75643321518458,1.8340554072939117,1276.5025634765625,./model/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-44-42).pth,./train_record/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-42-46).csv2024-05-21(15-42-46).csv,./result/2024-05-21(15-44-42).pth
TCN,3,L1Loss,Adam,3,3,mix,1,1,38,0.008,33.12571662780357,1.5620434510605519,5.755494472919209,1.833514509529903,1276.1260986328125,./model/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-45-13).pth,./train_record/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-42-46).csv2024-05-21(15-42-46).csv,./result/epoch382024-05-21(15-45-13).csv
TCN,3,L1Loss,Adam,3,3,mix,1,1,57,0.007,33.124072320138005,1.5617186712924132,5.755351624369966,1.833630265860722,1276.2066650390625,./model/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-46-26).pth,./train_record/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-42-46).csv2024-05-21(15-42-46).csv,./result/epoch572024-05-21(15-46-26).csv
TCN,3,L1Loss,Adam,3,3,mix,1,1,59,0.006,33.131806034882246,1.5639914162424502,5.756023456769634,1.8335103002087823,1276.1231689453125,./model/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-46-34).pth,./train_record/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-42-46).csv2024-05-21(15-42-46).csv,./result/2024-05-21(15-46-34).pth
TCN,3,L1Loss,Adam,3,3,mix,1,1,76,0.005,33.12129417215052,1.562447082502551,5.7551102658550795,1.8334394433032508,1276.0738525390625,./model/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-47-39).pth,./train_record/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-42-46).csv2024-05-21(15-42-46).csv,./result/epoch762024-05-21(15-47-39).csv
TCN,3,L1Loss,Adam,3,3,mix,1,1,88,0.004,33.12913931782784,1.5631386480494511,5.755791806331066,1.8332224878771552,1275.9228515625,./model/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-48-24).pth,./train_record/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-42-46).csv2024-05-21(15-42-46).csv,./result/2024-05-21(15-48-24).pth
TCN,3,L1Loss,Adam,3,3,mix,1,1,95,0.003,33.12512178615167,1.5618530344913124,5.755442796705712,1.8331226918889187,1275.8533935546875,./model/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-48-51).pth,./train_record/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-42-46).csv2024-05-21(15-42-46).csv,./result/epoch952024-05-21(15-48-51).csv
TCN,3,L1Loss,Adam,3,3,mix,1,1,114,0.002,33.12289607830621,1.5620270230958975,5.755249436671378,1.8330583243534482,1275.80859375,./model/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-50-02).pth,./train_record/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-42-46).csv2024-05-21(15-42-46).csv,./result/epoch1142024-05-21(15-50-02).csv
TCN,3,L1Loss,Adam,3,3,mix,1,1,117,0.001,33.123492651797655,1.5618706220544354,5.7553012650770645,1.8328957393251617,1275.6954345703125,./model/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-50-14).pth,./train_record/codeforces 936_13.csv/TCN/embdDim3_lossL1Loss_optimAdam_hiddenDim3_startPos3_trainTypemix_nLayer1_dropout1/2024-05-21(15-42-46).csv2024-05-21(15-42-46).csv,./result/2024-05-21(15-50-14).pth
