epoch,startPos,learnRate,MSE,MAE,RMSE,meanLoss,totalLoss
0,2,0.01,896.4136121370385,24.55829082391201,29.940167202890475,37.23993130387931,5399.7900390625
1,2,0.01,728.6055407829405,22.62863863737155,26.992694211266507,22.974563914331895,3331.311767578125
2,2,0.01,730.7480406665064,22.659878651301067,27.032351741321108,22.347476091056034,3240.384033203125
3,2,0.01,729.2419807328022,22.646839037919655,27.004480752882515,22.33176016971983,3238.105224609375
4,2,0.01,729.2350146853606,22.64899285023029,27.004351773100584,22.322600686961206,3236.777099609375
5,2,0.01,730.1151970489736,22.665300546548306,27.020643905150994,22.31495150862069,3235.66796875
6,2,0.01,735.7178103521984,22.759288084812653,27.124118609683862,22.272876818426724,3229.567138671875
7,2,0.01,743.8053911311802,22.88346093128889,27.27279580701583,22.1884765625,3217.3291015625
8,2,0.01,746.3755680877285,22.88435189234905,27.319874964716227,22.099535290948275,3204.4326171875
9,2,0.01,751.9856551646797,22.965164160117126,27.4223568491966,22.02015422952586,3192.92236328125
10,2,0.01,748.8512016224182,22.93279102521065,27.365145744585725,21.91704943426724,3177.97216796875
11,2,0.01,745.1123610250094,22.932497593072746,27.296746345031845,21.800851966594827,3161.12353515625
12,2,0.01,751.3649328978391,23.031715350273327,27.411036698706585,21.744487473060346,3152.95068359375
13,2,0.01,754.3927428819707,23.065727050487812,27.466210930559217,21.72507745150862,3150.13623046875
14,2,0.01,756.0367435076367,23.082181053283886,27.496122335842863,21.698141163793103,3146.23046875
15,2,0.01,754.5107401997949,23.04986416682219,27.46835889163739,21.689155105064657,3144.927490234375
16,2,0.01,755.8951135767539,23.067961228199493,27.4935467624087,21.683034752155173,3144.0400390625
17,2,0.01,753.8178397566967,23.04774223229824,27.455743292737434,21.680411503232758,3143.65966796875
18,2,0.01,760.9018191856057,23.13856856333904,27.58444886499648,21.67458075161638,3142.814208984375
19,2,0.01,759.984404938978,23.128870441363407,27.567814656569677,21.669548087284483,3142.08447265625
20,2,0.01,763.4088233376813,23.172598560651142,27.629853842133898,21.662835061961207,3141.111083984375
21,2,0.01,762.6872774387242,23.168849229812622,27.616793395300697,21.65850787984914,3140.483642578125
22,2,0.01,762.9162209790554,23.175997633200424,27.62093809013473,21.654839035560343,3139.95166015625
23,2,0.01,761.8875018061111,23.168507212247604,27.602309718683166,21.65301555765086,3139.687255859375
24,2,0.01,760.7622546212632,23.159316466404842,27.581918980035873,21.64914298221983,3139.125732421875
25,2,0.01,762.5852814139676,23.183984667826923,27.614946703080335,21.642815530711207,3138.208251953125
26,2,0.01,760.9653696236322,23.16263165229406,27.585600766045175,21.640087890625,3137.812744140625
27,2,0.01,760.4535950514867,23.15980240014883,27.576323087958748,21.63663119612069,3137.3115234375
28,2,0.01,759.8317518572178,23.148858700043117,27.565045834484255,21.633344558189656,3136.8349609375
29,2,0.009000000000000001,759.5988448022271,23.14842899640401,27.560820829616578,21.63074151400862,3136.45751953125
30,2,0.009000000000000001,755.8022610776285,23.11246391137441,27.491858087034213,21.62599508351293,3135.769287109375
31,2,0.009000000000000001,756.3140490399902,23.12003877529731,27.50116450334404,21.62138671875,3135.10107421875
32,2,0.009000000000000001,755.265666432425,23.10670678737836,27.482097198584118,21.620320918642243,3134.946533203125
33,2,0.009000000000000001,753.9429786302373,23.09945366321466,27.45802211795739,21.619972386853448,3134.89599609375
34,2,0.009000000000000001,756.7910306274771,23.166373974237686,27.50983516176491,21.612060546875,3133.748779296875
35,2,0.009000000000000001,745.3806910160134,22.98139788554265,27.301660957092217,21.60294820851293,3132.427490234375
36,2,0.009000000000000001,757.9987200582469,23.21078848838806,27.531776551073616,21.593079876077585,3130.99658203125
37,2,0.009000000000000001,746.6160012104828,23.004515268863777,27.324274943911735,21.591069504310344,3130.705078125
38,2,0.009000000000000001,764.7779942585956,23.28493467355386,27.65461976340654,21.587289533943967,3130.156982421875
39,2,0.009000000000000001,747.500325860395,23.02231051065983,27.34045218829409,21.587981546336206,3130.25732421875
40,2,0.009000000000000001,761.7693484602977,23.268810186630642,27.600169355645225,21.58433290678879,3129.728271484375
41,2,0.009000000000000001,748.4979255069383,23.04018440919045,27.358690127762664,21.584464237607758,3129.747314453125
42,2,0.009000000000000001,758.6602530498787,23.217426504844273,27.543787921233324,21.582044719827586,3129.396484375
43,2,0.008,747.9605969574683,23.036988515120285,27.34886829390694,21.5828125,3129.5078125
44,2,0.008,755.8686253071821,23.173066964516273,27.49306504024573,21.577587890625,3128.750244140625
45,2,0.008,745.785124661975,23.00656134654314,27.30906671166144,21.57709119073276,3128.67822265625
46,2,0.008,761.9245405962623,23.27564948033064,27.60298064695663,21.57577283135776,3128.487060546875
47,2,0.008,745.3079256302149,23.003033546301033,27.30032830627161,21.575973195043105,3128.51611328125
48,2,0.007,763.6268998044071,23.30213033541655,27.633799952312152,21.57385843211207,3128.20947265625
49,2,0.007,746.1379815764578,23.024099508921307,27.315526382928407,21.57238348599138,3127.99560546875
50,2,0.007,749.2392512991448,23.08222545721592,27.372235043911648,21.570925377155174,3127.7841796875
51,2,0.007,746.5754666859037,23.037049516653404,27.32353320282543,21.571119005926725,3127.812255859375
52,2,0.007,748.2997378526536,23.069917779702408,27.35506786415734,21.57005825700431,3127.658447265625
53,2,0.007,746.632278534635,23.0417887706023,27.32457279692832,21.569088429418102,3127.517822265625
54,2,0.007,748.9887495772165,23.083891996970543,27.367658825285304,21.56823141163793,3127.3935546875
55,2,0.007,748.087667308727,23.06931203450912,27.351191332531148,21.567862675107758,3127.340087890625
56,2,0.007,750.5277962069023,23.108733064089066,27.39576237681482,21.567270002693967,3127.254150390625
57,2,0.007,747.9243310041583,23.068194743914482,27.348205261116465,21.566828865840517,3127.190185546875
58,2,0.007,750.0850085426381,23.104125252136818,27.387679867828126,21.56619410021552,3127.09814453125
59,2,0.007,746.593435080281,23.04715201487908,27.323862008879363,21.565673828125,3127.022705078125
60,2,0.007,747.0877828643602,23.05478085615696,27.33290659378106,21.564848801185345,3126.903076171875
61,2,0.007,746.638701494695,23.051266269806103,27.32469032751689,21.565599744073275,3127.011962890625
62,2,0.007,748.7048148610166,23.086043211129997,27.362470920240675,21.56402377424569,3126.783447265625
63,2,0.007,745.0641448368407,23.02863854322678,27.29586314511488,21.563794787176725,3126.750244140625
64,2,0.007,748.7373981224735,23.08895302735842,27.363066314330954,21.563176858836208,3126.66064453125
65,2,0.007,744.4366661461728,23.022250728729443,27.284366698645815,21.56275424299569,3126.599365234375
66,2,0.007,746.4211908660936,23.05663592693133,27.3207099260999,21.562355199353448,3126.54150390625
67,2,0.006,745.1701809275964,23.038285894271656,27.297805423286256,21.561887122844826,3126.4736328125
68,2,0.006,740.7027313736014,22.958611268263596,27.215854411971,21.559235250538794,3126.089111328125
69,2,0.006,750.5189470149982,23.132225375909073,27.39560086975641,21.557580145474137,3125.84912109375
70,2,0.006,736.3037394064166,22.881329554777878,27.134917346592687,21.55876043911638,3126.020263671875
71,2,0.006,757.8807378139377,23.2591924514526,27.529633811838792,21.556662513469828,3125.716064453125
72,2,0.005,734.9884185917315,22.860761434603962,27.110669829270755,21.558987742456896,3126.05322265625
73,2,0.005,751.7083452820607,23.16829964747796,27.41730010927518,21.55333041487069,3125.23291015625
74,2,0.005,734.8043442497029,22.858921790734314,27.10727474774443,21.554860924030173,3125.454833984375
75,2,0.005,750.1212711018792,23.143019089331993,27.388341883032627,21.55362338362069,3125.275390625
76,2,0.005,734.5435843303069,22.855536460876465,27.102464543474767,21.554527545797413,3125.406494140625
77,2,0.005,752.0315976145838,23.178018530209858,27.42319451877523,21.55395339439655,3125.3232421875
78,2,0.005,735.1533452905499,22.868619087414864,27.11371138908412,21.55398201778017,3125.327392578125
79,2,0.005,751.5099989567988,23.169859925905865,27.41368269599688,21.55226461476293,3125.078369140625
80,2,0.005,733.584341906235,22.84114791185428,27.084762171860305,21.555219558189656,3125.5068359375
81,2,0.005,750.6141263621706,23.153534987033943,27.39733794298582,21.551889143318967,3125.02392578125
82,2,0.005,733.6863397892886,22.843918840090435,27.086645044916295,21.55491311961207,3125.46240234375
83,2,0.005,753.6412333153768,23.205111167369743,27.45252690218838,21.55111294450431,3124.911376953125
84,2,0.005,733.7281594430148,22.84593598964887,27.08741699466774,21.554653825431036,3125.4248046875
85,2,0.005,753.32475470948,23.199407363549255,27.446762189910125,21.550872171336206,3124.87646484375
86,2,0.004,733.7312974460458,22.847980043826958,27.087474918235657,21.553722723599137,3125.289794921875
87,2,0.004,741.4722672129628,22.99562759277148,27.22998838069827,21.549563914331898,3124.686767578125
88,2,0.004,733.548071392948,22.84640005001655,27.08409258943242,21.549153084590518,3124.627197265625
89,2,0.004,740.0617552511278,22.973277935614952,27.204076077880824,21.549632947198276,3124.69677734375
90,2,0.004,733.619166289829,22.850194435853226,27.08540504201163,21.549496565193966,3124.677001953125
91,2,0.004,741.7451167407299,23.006079872449238,27.234998012497265,21.54882980872845,3124.580322265625
92,2,0.004,733.4293244419646,22.852239679067562,27.081900310760407,21.54939554148707,3124.662353515625
93,2,0.004,740.3164556493878,22.983539058611942,27.20875696626709,21.54804855872845,3124.467041015625
94,2,0.004,731.5008519374204,22.827590288260044,27.046272422228917,21.549307987607758,3124.649658203125
95,2,0.004,739.5115282465096,22.991058823389885,27.19396124595513,21.548274178340517,3124.499755859375
96,2,0.004,729.0978647278667,22.810742790882404,27.001812248955936,21.54758048221983,3124.399169921875
97,2,0.004,734.8721497271054,22.92360908862872,27.10852540672593,21.542791958512932,3123.704833984375
98,2,0.004,726.956709772332,22.774986108144123,26.96213474063825,21.542170662715517,3123.61474609375
99,2,0.004,732.9139757944946,22.89636748876327,27.072384006483333,21.54107623922414,3123.4560546875
100,2,0.004,728.0109045846298,22.79415890803704,26.981677201105008,21.541251346982758,3123.4814453125
101,2,0.003,732.545352402014,22.881349753110836,27.065575042884532,21.54004916487069,3123.30712890625
102,2,0.003,724.266412817864,22.72426540729327,26.912198216010967,21.54008957435345,3123.31298828125
103,2,0.003,726.8580814230152,22.774886702879883,26.960305662640682,21.538415948275862,3123.0703125
104,2,0.003,726.1900108520396,22.76369115633842,26.947912922006402,21.538296403556036,3123.052978515625
105,2,0.002,726.0336195916043,22.761603013063088,26.945011033428884,21.538170123922413,3123.03466796875
106,2,0.002,723.9604526118467,22.72030472755432,26.90651320055883,21.53611260775862,3122.736328125
107,2,0.002,723.8780674668005,22.721453437438377,26.90498220528682,21.535641163793102,3122.66796875
108,2,0.002,723.5049775835965,22.716310103734333,26.89804783964064,21.535747238685346,3122.683349609375
109,2,0.002,723.2298627972337,22.712523668240276,26.89293332452289,21.535792699353447,3122.68994140625
110,2,0.002,722.8991252803645,22.708585121692757,26.886783468469496,21.535326306573275,3122.622314453125
111,2,0.002,722.7351685310937,22.706186869205574,26.883734274298533,21.535482893318967,3122.64501953125
112,2,0.002,722.7029518539267,22.706462890673908,26.88313508231372,21.53516635237069,3122.59912109375
113,2,0.002,723.0474969284013,22.712151313439392,26.889542519879384,21.533949016702586,3122.422607421875
114,2,0.002,722.7336373604365,22.707492620517048,26.88370579664263,21.534733634159483,3122.536376953125
115,2,0.002,723.0235119476536,22.71212258400061,26.889096525314002,21.533861462823275,3122.409912109375
116,2,0.002,722.7261570326087,22.707041336939884,26.883566672460123,21.535075431034482,3122.5859375
117,2,0.002,722.7578235967402,22.708535548968193,26.884155623652013,21.534058459051725,3122.4384765625
118,2,0.002,722.9943889970166,22.71213386914669,26.88855498157193,21.533713294719828,3122.388427734375
