epoch,startPos,learnRate,MSE,MAE,RMSE,meanLoss,totalLoss
0,1,0.01,501.2568733439856,12.731249582437542,22.388766677599406,12.919010950307378,3940.29833984375
1,1,0.01,436.04536367810704,12.564087417581744,20.881699252649604,12.767360399590164,3894.044921875
2,1,0.01,414.81998004291256,12.524137338776583,20.36712989213042,12.671161789190574,3864.704345703125
3,1,0.01,405.7738892176347,12.514505452436616,20.14383005333481,12.64784435835041,3857.592529296875
4,1,0.01,407.34964598212764,12.515932601775459,20.18290479544824,12.640256787909836,3855.2783203125
5,1,0.01,406.6976995751223,12.510000003501773,20.166747372224464,12.636661917264345,3854.181884765625
6,1,0.01,404.78069846507134,12.51547870063223,20.11916246927469,12.6360119428791,3853.983642578125
7,1,0.01,403.04636338311735,12.508592850311144,20.07601462898245,12.634705590420081,3853.585205078125
8,1,0.01,401.7956680575301,12.506110445375702,20.04484143258634,12.63337682505123,3853.179931640625
9,1,0.01,401.3502240267624,12.507214656069042,20.033727162631582,12.632607581967212,3852.9453125
10,1,0.01,400.6289091589457,12.510004768114365,20.01571655372212,12.632469902663935,3852.9033203125
11,1,0.01,400.8297622974717,12.505912714061866,20.020733310682495,12.632665215163934,3852.962890625
12,1,0.01,400.3796535414765,12.505999856456919,20.00948908746739,12.632648405481557,3852.957763671875
13,1,0.01,400.318581449086,12.508210489287434,20.00796295101243,12.632146516393442,3852.8046875
14,1,0.01,400.0685221922693,12.505520385941246,20.001712981449096,12.631943199282787,3852.74267578125
15,1,0.01,399.88826216657145,12.507374491839743,19.997206359053543,12.632104091956966,3852.791748046875
16,1,0.01,399.99532661652285,12.504812054372834,19.99988316507181,12.632409067622952,3852.884765625
17,1,0.01,399.9763131966449,12.505282893096783,19.999407821149227,12.632024846311475,3852.767578125
18,1,0.01,399.7353055888871,12.506625752102607,19.99338154462339,12.631780705686475,3852.693115234375
19,1,0.009000000000000001,399.8849751510705,12.505413620095505,19.9971241720171,12.632224161116802,3852.828369140625
20,1,0.009000000000000001,399.8522104474042,12.505815706699842,19.996304919844672,12.631985623719263,3852.755615234375
21,1,0.009000000000000001,399.5399240171915,12.504971745730328,19.98849479118404,12.636765176741804,3854.21337890625
22,1,0.009000000000000001,399.45415771437075,12.506489724368102,19.986349284308297,12.631717469262295,3852.673828125
23,1,0.009000000000000001,399.52784842551324,12.505642578404053,19.98819272534446,12.631430904200819,3852.58642578125
24,1,0.009000000000000001,399.5725506477701,12.505739139190776,19.98931090977801,12.631274814293032,3852.538818359375
25,1,0.009000000000000001,399.51059962210763,12.506159172932568,19.987761245875127,12.631203573258198,3852.51708984375
26,1,0.009000000000000001,399.58704910167404,12.505391471400415,19.98967356165863,12.631526159067622,3852.615478515625
27,1,0.009000000000000001,399.49254068911296,12.505998250011256,19.987309491002357,12.631560578893442,3852.6259765625
28,1,0.009000000000000001,399.5135180302762,12.50522516544075,19.987834250620455,12.631220382940574,3852.522216796875
29,1,0.009000000000000001,399.59545006675444,12.504913687163743,19.98988369317727,12.631422099129098,3852.583740234375
30,1,0.009000000000000001,399.50559591438963,12.505644974194615,19.987636076194445,12.631247598616802,3852.530517578125
31,1,0.008,399.45661780087767,12.506017274143616,19.98641082838231,12.631388479764345,3852.573486328125
32,1,0.008,399.6387705303555,12.50599114151402,19.990967223482595,12.631177158043032,3852.509033203125
33,1,0.008,399.63470910150926,12.50445677096784,19.99086564162516,12.630574410860655,3852.3251953125
34,1,0.008,399.4494216282598,12.506869193546375,19.986230800935424,12.63051037397541,3852.3056640625
35,1,0.008,399.60429427766945,12.504424190540847,19.99010490912115,12.63072009477459,3852.36962890625
36,1,0.008,399.58639915406803,12.504708837959793,19.98965730456798,12.630475153688524,3852.294921875
37,1,0.008,399.5569410013614,12.505472595291826,19.988920456126724,12.630648853739753,3852.347900390625
38,1,0.007,399.57619166859644,12.504641145375851,19.989401983766207,12.630276639344263,3852.234375
