epoch,startPos,learnRate,MSE,MAE,RMSE,meanLoss,totalLoss
0,1,0.01,529.5543326610617,12.958321810616905,23.012047554727975,12.892203080026727,3919.229736328125
1,1,0.01,529.5699273528812,12.958053417399844,23.012386389787594,12.877932096782484,3914.891357421875
2,1,0.01,529.5725666697932,12.958025210414423,23.012443735287942,12.877797176963405,3914.850341796875
3,1,0.01,529.5474647945811,12.958211352138951,23.011898330963074,12.877776296515213,3914.843994140625
4,1,0.01,529.5721079747151,12.958019014673347,23.012433769045703,12.87774658203125,3914.8349609375
5,1,0.01,529.6289685852857,12.958844032623961,23.013669168241854,12.877602025082236,3914.791015625
6,1,0.01,529.5554904079157,12.958114983183368,23.012072709947613,12.877721686112253,3914.827392578125
7,1,0.01,529.4574405197958,12.959041595937213,23.00994221026632,12.87765181692023,3914.80615234375
8,1,0.01,529.556706229144,12.958222498366805,23.012099126962408,12.877832513106497,3914.861083984375
9,1,0.01,529.5597646915389,12.958122224636513,23.01216558022167,12.877757022255345,3914.838134765625
10,1,0.01,529.5942269129122,12.957862012508201,23.01291435070561,12.877642179790296,3914.80322265625
11,1,0.01,529.5727390931703,12.958007294854394,23.01244748159505,12.877710442793997,3914.823974609375
12,1,0.01,529.5027662142828,12.958582484650574,23.010927104623203,12.877718473735609,3914.826416015625
13,1,0.01,529.573353466776,12.958011787809046,23.012460830314865,12.877716064453125,3914.82568359375
14,1,0.01,529.4300324040037,12.959223472822439,23.00934663140185,12.877710442793997,3914.823974609375
15,1,0.01,529.5031715263818,12.95860673910718,23.010935911569998,12.877629330283717,3914.79931640625
16,1,0.01,529.6348577568756,12.959091900862688,23.013797117313683,12.877613268400493,3914.79443359375
17,1,0.01,529.4970900162681,12.95868882918361,23.010803767280013,12.877633345754523,3914.800537109375
18,1,0.01,529.4515653568837,12.95896892193153,23.00981454416536,12.877790752210116,3914.848388671875
19,1,0.009000000000000001,529.5901615198077,12.957885477007988,23.012826022021017,12.877660650956003,3914.808837890625
20,1,0.009000000000000001,529.5299626254258,12.95835356422735,23.01151804261131,12.877804404810854,3914.8525390625
21,1,0.009000000000000001,529.5627384842375,12.958093592483237,23.01223019362177,12.877593191046463,3914.788330078125
