modelType,embdDim,lossType,optimType,hiddenDim,startPos,trainType,layerNum,dropout,epoch,learnRate,MSE,MAE,RMSE,meanLoss,totalLoss,modelFile,recordFile,resultFile
LSTMAtt,3,L1Loss,Adam,5,1,mix,1,1,33,0.01,305.3947792214382,9.801945946070923,17.47554803779951,9.798963477574482,7564.7998046875,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-10-23(20-31-48).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-10-23(20-26-28).csv2024-10-23(20-26-28).csv,./result/LSTMAtt_epoch33_2024-10-23(20-31-48).csv
LSTMAtt,3,L1Loss,Adam,5,1,mix,1,1,19,0.01,159.24547588257437,4.178282551992696,12.619250210792018,4.158048703897968,1176.727783203125,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-10-23(21-02-12).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypemix_nLayer1_dropout1/2024-10-23(21-00-50).csv2024-10-23(21-00-50).csv,./result/LSTMAtt_epoch19_2024-10-23(21-02-12).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,20,0.01,178.32735645173932,4.654346223391958,13.353926630461144,4.843294742602657,1002.56201171875,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-15).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/trans_length1epoch202024-11-08(17-05-15).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,30,0.009000000000000001,178.6381691819082,4.65306110021255,13.365559067315823,4.8552629406325485,1005.0394287109375,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-23).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/length1epoch302024-11-08(17-05-23).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,39,0.008,177.83005388939333,4.647086760619284,13.335293543428032,4.852524614564462,1004.4725952148438,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-30).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/trans_length1epoch392024-11-08(17-05-30).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,58,0.007,178.85961714164938,4.668618211595951,13.373840777489814,4.852978987394324,1004.566650390625,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-44).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/trans_length1epoch582024-11-08(17-05-44).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,59,0.006,178.36538093991683,4.656348135582226,13.355350273950767,4.851665994395381,1004.2948608398438,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-45).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/length1epoch592024-11-08(17-05-45).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,77,0.005,178.32338483090996,4.659651053206886,13.35377792352823,4.85438427026721,1004.8575439453125,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-58).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/trans_length1epoch772024-11-08(17-05-58).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,88,0.004,177.47256022471254,4.643547540048915,13.321882758255777,4.857110212390549,1005.4218139648438,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-06-06).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/length1epoch882024-11-08(17-06-06).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,96,0.003,178.17825544292612,4.64182603245038,13.348342797625708,4.852086163949275,1004.3818359375,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-06-12).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/trans_length1epoch962024-11-08(17-06-12).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,115,0.002,178.31976109590602,4.652743601617063,13.353642240823513,4.861789574369716,1006.3904418945312,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-06-26).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/trans_length1epoch1152024-11-08(17-06-26).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,117,0.001,178.2244026232518,4.644930735010116,13.350071259107638,4.856938606299064,1005.3862915039062,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-06-27).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/length1epoch1172024-11-08(17-06-27).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,134,0.0009,177.8005840511966,4.643975948572422,13.334188541159774,4.843297396305102,1002.5625610351562,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-06-41).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/trans_length1epoch1342024-11-08(17-06-41).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,146,0.0007999999999999999,178.3236631738703,4.659028421308576,13.353788345404846,4.852781433990036,1004.5257568359375,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-06-50).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/length1epoch1462024-11-08(17-06-50).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,153,0.0006999999999999999,177.75927485027557,4.640187856552844,13.33263945549701,4.855657162873642,1005.1210327148438,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-06-55).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/trans_length1epoch1532024-11-08(17-06-55).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,172,0.0005999999999999998,177.8940759804495,4.651165799674947,13.33769380291996,4.8436411981997285,1002.6337280273438,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-07-09).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/trans_length1epoch1722024-11-08(17-07-09).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,175,0.0004999999999999998,178.24639013095293,4.647552086955699,13.350894731475975,4.848465629245924,1003.6323852539062,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-07-11).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/length1epoch1752024-11-08(17-07-11).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,191,0.0003999999999999998,178.2038809373101,4.6439824250974135,13.349302638614127,4.849512662288648,1003.84912109375,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-07-23).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/trans_length1epoch1912024-11-08(17-07-23).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,204,0.0002999999999999998,180.72984221956403,4.701627320293347,13.443579962925204,4.853803699143267,1004.7373657226562,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-07-32).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/length1epoch2042024-11-08(17-07-32).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,210,0.00019999999999999982,177.86696557013724,4.648450762095442,13.336677456178403,4.844361530985809,1002.7828369140625,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-07-37).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/trans_length1epoch2102024-11-08(17-07-37).csv
LSTMAtt,3,L1Loss,Adam,5,2,iteration,1,1,19,0.01,177.36376426396984,4.6355239743955625,13.317798776973987,15.233910762902463,1005.4381103515625,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-07-52).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/trans_length2epoch192024-11-08(17-07-52).csv
LSTMAtt,3,L1Loss,Adam,5,2,iteration,1,1,39,0.0099,116.48201442719571,2.8643143513006235,10.792683374731036,2.33150019790187,153.87901306152344,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-07-57).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/trans_length2epoch392024-11-08(17-07-57).csv
LSTMAtt,3,L1Loss,Adam,5,2,iteration,1,1,49,0.009800000000000001,116.59865470275525,2.879249696240175,10.798085696212791,2.338462136008523,154.3385009765625,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-08-00).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/length2epoch492024-11-08(17-08-00).csv
LSTMAtt,3,L1Loss,Adam,5,2,iteration,1,1,58,0.009700000000000002,116.90910887700221,2.898952849438341,10.8124515664581,2.3330082748875474,153.97854614257812,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-08-02).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/trans_length2epoch582024-11-08(17-08-02).csv
LSTMAtt,3,L1Loss,Adam,5,2,iteration,1,1,77,0.009600000000000003,116.5694522805733,2.871582985320963,10.796733407868016,2.345767628062855,154.82066345214844,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-08-07).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/trans_length2epoch772024-11-08(17-08-07).csv
LSTMAtt,3,L1Loss,Adam,5,2,iteration,1,1,78,0.009500000000000003,116.48791328167614,2.866612078266211,10.792956651524,2.340970819646662,154.5040740966797,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-08-08).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/length2epoch782024-11-08(17-08-08).csv
LSTMAtt,3,L1Loss,Adam,5,2,iteration,1,1,96,0.009400000000000004,116.69487154111494,2.8801807856612225,10.802540050428647,2.338622353293679,154.3490753173828,./model/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-08-12).pth,./train_record/codeforces 948_2/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-11-08(17-05-01).csv2024-11-08(17-05-01).csv,./result/trans_length2epoch962024-11-08(17-08-12).csv
