epoch,startPos,learnRate,MSE,MAE,RMSE,meanLoss,totalLoss
0,1,0.01,1481.0794173343775,28.43022336278643,38.484794625077285,31.982962785366766,5341.15478515625
1,1,0.01,1098.6717008842472,24.737398388839903,33.146216992052764,26.805237181886227,4476.474609375
2,1,0.01,963.9015521510202,23.80004430384863,31.04676395618423,24.272551576534433,4053.51611328125
3,1,0.01,972.6514989885056,23.915358709437506,31.187361205919707,23.044535928143713,3848.4375
4,1,0.01,964.4558175514451,24.061213445095788,31.05568897241607,22.382056687406436,3737.803466796875
5,1,0.01,955.1340822847217,24.194666970343818,30.90524360500531,22.05759233486153,3683.617919921875
6,1,0.01,928.3806574691159,24.124841333145188,30.46933962968538,21.842751508701348,3647.739501953125
7,1,0.01,921.3993390041703,24.12986882669585,30.354560431740243,21.750738269554642,3632.373291015625
8,1,0.01,1087.3900172371405,25.157144568505743,32.97559729917171,21.681289764221557,3620.775390625
9,1,0.01,886.0755989733876,23.963725525708426,29.767022003777733,21.59164191148952,3605.80419921875
10,1,0.01,885.443421390203,23.99622497814042,29.756401351477347,21.540153092252993,3597.20556640625
11,1,0.01,880.8501552201061,23.970125560249603,29.67911985251763,21.49685102451347,3589.97412109375
12,1,0.01,865.0637576980897,23.70384422299408,29.411966233118278,21.48698160319985,3588.325927734375
13,1,0.01,863.5984474736136,23.586679412850312,29.387045572388075,21.473410600673652,3586.0595703125
14,1,0.01,872.2163451845993,23.70426145054045,29.533309079488525,21.455388052020957,3583.0498046875
15,1,0.01,873.2531982003869,23.58800358626814,29.550857825118833,21.441559751590567,3580.740478515625
16,1,0.01,875.2126618380547,23.603482987022115,29.58399333825734,21.437445908963323,3580.053466796875
17,1,0.01,875.2566795853751,23.555611165329104,29.584737274232722,21.435086370228294,3579.659423828125
18,1,0.01,875.7684519597999,23.5208428020456,29.593385273736423,21.434630251216316,3579.583251953125
19,1,0.01,875.8662354581528,23.50408125597806,29.595037345104885,21.43368731287425,3579.42578125
20,1,0.01,876.2995433917025,23.47774340247824,29.6023570580402,21.433000210516468,3579.31103515625
21,1,0.01,873.0809964048177,23.501913486846856,29.54794403008131,21.433237041541915,3579.3505859375
22,1,0.01,870.9109277597255,23.515940485965636,29.51120003930246,21.426031238304642,3578.147216796875
23,1,0.01,869.8095589699913,23.52002189272926,29.492533953019215,21.422070897267965,3577.48583984375
24,1,0.01,869.8774048257599,23.49478561218296,29.493684151454527,21.420630906156436,3577.245361328125
25,1,0.01,869.7386486148415,23.48167340741271,29.49133175383644,21.420176249064372,3577.16943359375
26,1,0.01,869.8733227877726,23.478328890921105,29.49361494947292,21.42000520443488,3577.140869140625
