modelType,embdDim,lossType,optimType,hiddenDim,startPos,trainType,layerNum,dropout,epoch,learnRate,MSE,MAE,RMSE,meanLoss,totalLoss,modelFile,recordFile,resultFile
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,20,0.01,325.1093640126483,9.729344792750686,18.030789334154186,9.544518543265717,1632.1126708984375,./model/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-03-04).pth,./train_record/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-02-50).csv2024-10-23(18-02-50).csv,./result/trans_length1epoch202024-10-23(18-03-04).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,30,0.009000000000000001,325.25903814065873,9.738176912762398,18.034939371693454,9.545022529468202,1632.1988525390625,./model/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-03-10).pth,./train_record/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-02-50).csv2024-10-23(18-02-50).csv,./result/length1epoch302024-10-23(18-03-10).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,39,0.008,325.3919836872929,9.73471295097193,18.038624772617588,9.545704267178362,1632.3154296875,./model/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-03-17).pth,./train_record/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-02-50).csv2024-10-23(18-02-50).csv,./result/trans_length1epoch392024-10-23(18-03-17).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,58,0.007,325.1883669854775,9.73690568159746,18.032979980731902,9.544030975877194,1632.029296875,./model/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-03-32).pth,./train_record/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-02-50).csv2024-10-23(18-02-50).csv,./result/trans_length1epoch582024-10-23(18-03-32).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,59,0.006,325.082385167487,9.728776539762526,18.030041185962027,9.543878923382675,1632.0032958984375,./model/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-03-34).pth,./train_record/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-02-50).csv2024-10-23(18-02-50).csv,./result/length1epoch592024-10-23(18-03-34).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,77,0.005,326.3314495408376,9.746685666227064,18.064646399551737,9.546190406843932,1632.3985595703125,./model/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-03-47).pth,./train_record/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-02-50).csv2024-10-23(18-02-50).csv,./result/trans_length1epoch772024-10-23(18-03-47).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,88,0.004,325.3326844347381,9.728604120267338,18.036981023295947,9.543287132218568,1631.902099609375,./model/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-03-55).pth,./train_record/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-02-50).csv2024-10-23(18-02-50).csv,./result/length1epoch882024-10-23(18-03-55).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,96,0.003,325.53202460321694,9.733840079978108,18.04250605107885,9.547037760416666,1632.54345703125,./model/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-04-01).pth,./train_record/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-02-50).csv2024-10-23(18-02-50).csv,./result/trans_length1epoch962024-10-23(18-04-01).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,115,0.002,325.466287032028,9.728151083230799,18.040684217402287,9.543527703536185,1631.9432373046875,./model/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-04-15).pth,./train_record/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-02-50).csv2024-10-23(18-02-50).csv,./result/trans_length1epoch1152024-10-23(18-04-15).csv
LSTMAtt,3,L1Loss,Adam,5,1,iteration,1,1,117,0.001,325.6056983974309,9.734478165763756,18.044547608555636,9.542897363852338,1631.83544921875,./model/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-04-17).pth,./train_record/codeforces 948/LSTMAtt/embdDim3_lossL1Loss_optimAdam_hiddenDim5_startPos1_trainTypeiteration_nLayer1_dropout1/2024-10-23(18-02-50).csv2024-10-23(18-02-50).csv,./result/length1epoch1172024-10-23(18-04-17).csv
