modelType,embdDim,lossType,optimType,hiddenDim,startPos,trainType,layerNum,dropout,epoch,learnRate,MSE,MAE,RMSE,meanLoss,totalLoss,modelFile,recordFile,resultFile
LSTM,2,L1Loss,Adam,5,2,mix,1,1,34,0.01,308.28091690943967,11.366096738396267,17.557930313947587,11.774443028336865,2084.076416015625,./model/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-07-40).pth,./train_record/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-07-26).csv2024-03-31(10-07-26).csv,./result/epoch342024-03-31(10-07-40).csv
LSTM,2,L1Loss,Adam,5,2,mix,1,1,53,0.009000000000000001,306.9356435313211,11.28486151512825,17.519578862841456,11.616437146892656,2056.109375,./model/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-07-47).pth,./train_record/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-07-26).csv2024-03-31(10-07-26).csv,./result/epoch532024-03-31(10-07-47).csv
LSTM,2,L1Loss,Adam,5,2,mix,1,1,73,0.008,306.3319655633879,11.284390993624017,17.502341716564327,11.520985059145481,2039.21435546875,./model/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-07-55).pth,./train_record/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-07-26).csv2024-03-31(10-07-26).csv,./result/epoch732024-03-31(10-07-55).csv
LSTM,2,L1Loss,Adam,5,2,mix,1,1,92,0.007,304.0048277237365,11.239016715396529,17.435734218086044,11.48743503376589,2033.2760009765625,./model/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-08-02).pth,./train_record/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-07-26).csv2024-03-31(10-07-26).csv,./result/epoch922024-03-31(10-08-02).csv
LSTM,2,L1Loss,Adam,5,2,mix,1,1,107,0.006,302.5339305169801,11.230862402518586,17.39350253735515,11.470012772554732,2030.1922607421875,./model/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-08-08).pth,./train_record/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-07-26).csv2024-03-31(10-07-26).csv,./result/2024-03-31(10-08-08).pth
LSTM,2,L1Loss,Adam,5,2,mix,1,1,111,0.005,302.2510496974905,11.204200316432749,17.385368839846063,11.448172531558969,2026.3265380859375,./model/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-08-10).pth,./train_record/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-07-26).csv2024-03-31(10-07-26).csv,./result/epoch1112024-03-31(10-08-10).csv
LSTM,2,L1Loss,Adam,5,2,mix,1,1,130,0.004,304.5711758579053,11.254391366460103,17.451967678686128,11.456598141772599,2027.81787109375,./model/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-08-18).pth,./train_record/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-07-26).csv2024-03-31(10-07-26).csv,./result/epoch1302024-03-31(10-08-18).csv
LSTM,2,L1Loss,Adam,5,2,mix,1,1,136,0.003,303.48726943027845,11.215556957974577,17.420886011632085,11.442955922272246,2025.4031982421875,./model/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-08-21).pth,./train_record/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-07-26).csv2024-03-31(10-07-26).csv,./result/2024-03-31(10-08-21).pth
LSTM,2,L1Loss,Adam,5,2,mix,1,1,149,0.002,302.8291967310077,11.231643824938567,17.401988298209137,11.395115394376765,2016.9354248046875,./model/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-08-27).pth,./train_record/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-07-26).csv2024-03-31(10-07-26).csv,./result/epoch1492024-03-31(10-08-27).csv
LSTM,2,L1Loss,Adam,5,2,mix,1,1,165,0.001,302.9097122373329,11.229788936484947,17.404301544081935,11.351005942134535,2009.1280517578125,./model/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-08-33).pth,./train_record/video_actions_session_2/LSTM/embdDim2_lossL1Loss_optimAdam_hiddenDim5_startPos2_trainTypemix_nLayer1_dropout1/2024-03-31(10-07-26).csv2024-03-31(10-07-26).csv,./result/2024-03-31(10-08-33).pth
